hotelName,hotelDetail,comment_tag,summary,summery_description,summery_special_tag,summary_score_tag,summary_reviews
逢甲,407台灣台中市西屯區慶和街•+886 968 390 828,[],在 14 則評論中，獲得 3.6 顆星 (滿分為 5 顆星)。良好。,,"['免費 Wi-Fi : 在附近類似的飯店中，有 47% 免費提供 Wi-Fi', '地點絕佳 : 房客喜歡這間飯店的地點']","['', '3.6良好\xa0|\xa014 則評論']","['娃娃""餐點好吃，環境舒適，有什麼問題工作人員都會協助處理，感謝店家""', 'Hao Wei LI""房東人很好， 離台中逢甲夜市很近，是不錯的選擇，但是停車要自己想辦法了！""', 'Max X""不要讓英國班機回來阿""']"
二毛作民宿,892金門縣金寧鄉大學路2巷8號•+886 8 232 3068,[],在 3 則評論中，獲得 4.0 顆星 (滿分為 5 顆星)。很好。,,[],"['', '4.0很好\xa0|\xa03 則評論']",[]
松之戀 The Pines,"台中市新社區崑山里食水嵙6-7號, 42642, 新社區台中市台灣•+886 4 2581 4888","['設施設施在 33 則 Google 評論中有提到100% 的評論持正面評價 ', '氣氛氣氛在 20 則 Google 評論中有提到95% 的評論持正面評價 ', '大自然大自然在 18 則 Google 評論中有提到89% 的評論持正面評價 ', '餐飲餐飲在 31 則 Google 評論中有提到74% 的評論持正面評價 ', '早餐早餐在 12 則 Google 評論中有提到67% 的評論持正面評價 ', '服務服務在 24 則 Google 評論中有提到54% 的評論持正面評價 ', '家庭料理家庭料理在 9 則 Google 評論中有提到100% 的評論持正面評價 ', '酒吧酒吧在 8 則 Google 評論中有提到50% 的評論持負面評價 ', '地點地點在 7 則 Google 評論中有提到57% 的評論持正面評價 ', '設施設施在 33 則 Google 評論中有提到100% 的評論持正面評價 ', '氣氛氣氛在 20 則 Google 評論中有提到95% 的評論持正面評價 ', '大自然大自然在 18 則 Google 評論中有提到89% 的評論持正面評價 ', '餐飲餐飲在 31 則 Google 評論中有提到74% 的評論持正面評價 ', '早餐早餐在 12 則 Google 評論中有提到67% 的評論持正面評價 ', '服務服務在 24 則 Google 評論中有提到54% 的評論持正面評價 ', '家庭料理家庭料理在 9 則 Google 評論中有提到100% 的評論持正面評價 ', '酒吧酒吧在 8 則 Google 評論中有提到50% 的評論持負面評價 ', '地點地點在 7 則 Google 評論中有提到57% 的評論持正面評價 ']",在 825 則評論中，獲得 4.0 顆星 (滿分為 5 顆星)。很好。,,"['免費停車場 : 在附近類似的飯店中，有 52% 提供免費停車', '餐廳 : 在附近類似的飯店中，只有 23% 設有餐廳']","['', '4.0很好\xa0|\xa0825 則評論']","['Just love fishing""豬肋排口味不錯，餐點CP值得，餐廳室外環境很棒，附近也可散步，推薦""', 'e rr""點了一份下午茶套餐，有飲品、新鮮水果、檸檬派、可麗露、松露巧克力。""', '曹秋萍""環境優美，服務超好，餐點擺盤超美，食物也好吃，量很多，CP值超高""']"
迪化街棧 Di Hua Jie Stay,3 星級飯店103台灣台北市大同區民生西路428號•+886 918 830 986,"['浴室浴室在 16 則 Google 評論中有提到44% 的評論持正面評價 ', '地點地點在 15 則 Google 評論中有提到73% 的評論持正面評價 ', '清潔清潔在 25 則 Google 評論中有提到84% 的評論持正面評價 ', '住宿住宿在 9 則 Google 評論中有提到44% 的評論持正面評價 ', '大眾運輸大眾運輸在 5 則 Google 評論中有提到60% 的評論持正面評價 ', '設施設施在 17 則 Google 評論中有提到82% 的評論持正面評價 ', '服務服務在 10 則 Google 評論中有提到70% 的評論持負面評價 ', '浴室浴室在 16 則 Google 評論中有提到44% 的評論持正面評價 ', '地點地點在 15 則 Google 評論中有提到73% 的評論持正面評價 ', '清潔清潔在 25 則 Google 評論中有提到84% 的評論持正面評價 ', '住宿住宿在 9 則 Google 評論中有提到44% 的評論持正面評價 ', '大眾運輸大眾運輸在 5 則 Google 評論中有提到60% 的評論持正面評價 ', '設施設施在 17 則 Google 評論中有提到82% 的評論持正面評價 ', '服務服務在 10 則 Google 評論中有提到70% 的評論持負面評價 ']",在 108 則評論中，獲得 3.9 顆星 (滿分為 5 顆星)。良好。,,[],"['', '3.9良好\xa0|\xa0108 則評論']","['I\'m Elmagao""房間乾淨服務也好，但位置可能有車較方便，近碼頭旁可以晚上去走走喝飲料，很愜意！""', 'Kim huang""地點離捷運站比較遠一點，但是附近是大稻埕和寧夏夜市，機能還不錯。""', '吳大承""房間很新乾淨，廁所有免治馬桶，離大稻埕碼頭走路兩分鐘碼頭有市集很熱鬧""']"
白河蓮之家,732台灣台南市白河區南89鄉道14號•+886 6 683 2719,[],在 2 則評論中，獲得 5.0 顆星 (滿分為 5 顆星)。非常好。,,[],"['', '5.0非常好\xa0|\xa02 則評論']","['RICK TSAI""比房間小一點而已,只可惜是和其他住戶共用 價格一千五,買一個回家的感覺。不貴!""', '王大頭""環境不錯，價格也公道。""']"
小琉球好萊屋民宿,929台灣屏東縣琉球鄉上福村杉板路81巷10號•+886 933 688 478,"['清潔清潔在 6 則 Google 評論中有提到100% 的評論持正面評價 ', '清潔清潔在 6 則 Google 評論中有提到100% 的評論持正面評價 ']",在 32 則評論中，獲得 4.8 顆星 (滿分為 5 顆星)。非常好。,,"['評分最高 : 這間飯店的使用者評分在這個地區名列前茅', '地點絕佳 : 房客喜歡這間飯店的地點']","['', '4.8非常好\xa0|\xa032 則評論']","['宜庭江""房間乾淨舒適！老闆大哥和陳媽媽待人親切！早餐賀甲👍', '陳俊延""老闆娘非常的親切，把客人當家人一樣，最喜歡老闆娘煮的海鮮湯飯""', '黃靜芬""超親切的主人超貼心的主人!都準備了好好吃的早餐,午餐小琉球的風味餐~海產粥""']"
椰子海岸,95491台灣台東縣卑南鄉富山村杉原150號•+886 952 404 521,"['氣氛氣氛在 17 則 Google 評論中有提到100% 的評論持正面評價 ', '餐飲餐飲在 12 則 Google 評論中有提到100% 的評論持正面評價 ', '設施設施在 45 則 Google 評論中有提到98% 的評論持正面評價 ', '早餐早餐在 50 則 Google 評論中有提到96% 的評論持正面評價 ', '服務服務在 48 則 Google 評論中有提到96% 的評論持正面評價 ', '餐廳餐廳在 27 則 Google 評論中有提到93% 的評論持正面評價 ', '酒吧酒吧在 15 則 Google 評論中有提到93% 的評論持正面評價 ', '清潔清潔在 25 則 Google 評論中有提到92% 的評論持正面評價 ', '大自然大自然在 32 則 Google 評論中有提到84% 的評論持正面評價 ', '住宿住宿在 27 則 Google 評論中有提到89% 的評論持正面評價 ', '設施設施在 26 則 Google 評論中有提到88% 的評論持正面評價 ', '寵物寵物在 32 則 Google 評論中有提到81% 的評論持正面評價 ', '浴室浴室在 11 則 Google 評論中有提到82% 的評論持正面評價 ', '健康與保健健康與保健在 9 則 Google 評論中有提到100% 的評論持正面評價 ', '家庭料理家庭料理在 9 則 Google 評論中有提到100% 的評論持正面評價 ', '地點地點在 5 則 Google 評論中有提到80% 的評論持正面評價 ', '美容/按摩服務美容/按摩服務在 6 則 Google 評論中有提到100% 的評論持正面評價 ', '廚房廚房在 5 則 Google 評論中有提到100% 的評論持正面評價 ', '氣氛氣氛在 17 則 Google 評論中有提到100% 的評論持正面評價 ', '餐飲餐飲在 12 則 Google 評論中有提到100% 的評論持正面評價 ', '設施設施在 45 則 Google 評論中有提到98% 的評論持正面評價 ', '早餐早餐在 50 則 Google 評論中有提到96% 的評論持正面評價 ', '服務服務在 48 則 Google 評論中有提到96% 的評論持正面評價 ', '餐廳餐廳在 27 則 Google 評論中有提到93% 的評論持正面評價 ', '酒吧酒吧在 15 則 Google 評論中有提到93% 的評論持正面評價 ', '清潔清潔在 25 則 Google 評論中有提到92% 的評論持正面評價 ', '大自然大自然在 32 則 Google 評論中有提到84% 的評論持正面評價 ', '住宿住宿在 27 則 Google 評論中有提到89% 的評論持正面評價 ', '設施設施在 26 則 Google 評論中有提到88% 的評論持正面評價 ', '寵物寵物在 32 則 Google 評論中有提到81% 的評論持正面評價 ', '浴室浴室在 11 則 Google 評論中有提到82% 的評論持正面評價 ', '健康與保健健康與保健在 9 則 Google 評論中有提到100% 的評論持正面評價 ', '家庭料理家庭料理在 9 則 Google 評論中有提到100% 的評論持正面評價 ', '地點地點在 5 則 Google 評論中有提到80% 的評論持正面評價 ', '美容/按摩服務美容/按摩服務在 6 則 Google 評論中有提到100% 的評論持正面評價 ', '廚房廚房在 5 則 Google 評論中有提到100% 的評論持正面評價 ']",在 276 則評論中，獲得 4.7 顆星 (滿分為 5 顆星)。非常好。,,"['評分最高 : 這間飯店的使用者評分在這個地區名列前茅', '免費停車場 : 在附近類似的飯店中，有 71% 提供免費停車', '評價絕佳的衛浴設備 : 房客喜歡這間飯店的浴室和盥洗用品', '睡得很安穩 : 房客表示他們在這間飯店睡得很好']","['', '4.7非常好\xa0|\xa0276 則評論']","['蔣抒儂""工作人員服務態度優良,海景美,房間設備佳,早餐更是一流沒話說,硬體設備也很好""', 'R. Miss""房間設計很好，小小的旋轉樓梯劃分出樓上樓下的2張大床，讓小朋友擁有獨立的空間。""', 'kim huang""能讓心靈與身體一次獲得滿足的超棒地方。超級推薦。管家很帥氣。""']"
Ｑ居微生活海景民宿,"3 星級飯店No. 118-1, Jinmencheng 金城鎮, 金門縣893•+886 983 343 490","['寵物寵物在 6 則 Google 評論中有提到100% 的評論持正面評價 ', '寵物寵物在 6 則 Google 評論中有提到100% 的評論持正面評價 ']",在 32 則評論中，獲得 4.6 顆星 (滿分為 5 顆星)。非常好。,,"['評分最高 : 這間飯店的使用者評分在這個地區名列前茅', '免費 Wi-Fi : 在附近類似的飯店中，只有 14% 免費提供 Wi-Fi']","['', '4.6非常好\xa0|\xa032 則評論']","['方蓓玲""環境整潔舒適 主人親切且熟知秘境美景、美食 自製辣椒醬超讚""', '陳彥廷""樓上觀景台晚上非常舒適 還有廈門夜景 再來金門還是會住這裡～～""', '郭佩芳""，老闆只會在你來民宿前待在客廳等你，之後就會說～有什麼問題打給我！""']"
碧雲天汽車旅館迴龍館,333台灣桃園市龜山區萬壽路一段195號•+886 2 8200 0999,"['清潔清潔在 11 則 Google 評論中有提到55% 的評論持負面評價 ', '服務服務在 11 則 Google 評論中有提到45% 的評論持正面評價 ', '娛樂娛樂在 6 則 Google 評論中有提到100% 的評論持負面評價 ', '設施設施在 6 則 Google 評論中有提到67% 的評論持負面評價 ', '設施設施在 11 則 Google 評論中有提到64% 的評論持負面評價 ', '浴室浴室在 11 則 Google 評論中有提到91% 的評論持負面評價 ', '清潔清潔在 11 則 Google 評論中有提到55% 的評論持負面評價 ', '服務服務在 11 則 Google 評論中有提到45% 的評論持正面評價 ', '娛樂娛樂在 6 則 Google 評論中有提到100% 的評論持負面評價 ', '設施設施在 6 則 Google 評論中有提到67% 的評論持負面評價 ', '設施設施在 11 則 Google 評論中有提到64% 的評論持負面評價 ', '浴室浴室在 11 則 Google 評論中有提到91% 的評論持負面評價 ']",在 255 則評論中，獲得 3.4 顆星 (滿分為 5 顆星)。一般。,,[],"['', '3.4一般\xa0|\xa0255 則評論']","['阿國""現做早餐、果汁供應、咖啡機異常、房間普通、櫃台小姐親切。""', 'Shu Hung""浴室電視不能看，環境髒亂，KTV的麥克風也是有問題的""', '楊宜豐""家庭房，有宵夜及早餐。設備老舊是真的，畢竟已經有年頭的。不過乾淨程度還是可以的。""']"
吉美民宿-金城鎮民宿,89346金門縣金城鎮後豐港86號•+886 906 209 385,"['地點地點在 6 則 Google 評論中有提到83% 的評論持正面評價 ', '服務服務在 6 則 Google 評論中有提到100% 的評論持正面評價 ', '設施設施在 5 則 Google 評論中有提到100% 的評論持正面評價 ', '地點地點在 6 則 Google 評論中有提到83% 的評論持正面評價 ', '服務服務在 6 則 Google 評論中有提到100% 的評論持正面評價 ', '設施設施在 5 則 Google 評論中有提到100% 的評論持正面評價 ']",在 105 則評論中，獲得 4.0 顆星 (滿分為 5 顆星)。很好。,,[],"['', '4.0很好\xa0|\xa0105 則評論']","['小如""和送機司機熱情好聊! 希望注意房間內備品狀況，住宿當日浴巾有大量黑斑。""', '林麗貞""房間空間狹窄，態度惡劣，對寵物極度不友善，不推薦此地方住宿""', '王雅錞""民宿的環境乾淨，氣氛舒服，整體感覺讓人很放鬆，很棒！""']"
新格旅館,3 星級飯店330台灣桃園市桃園區寶山街296號•+886 3 355 0737,"['停車場停車場在 8 則 Google 評論中有提到62% 的評論持正面評價 ', '早餐早餐在 7 則 Google 評論中有提到71% 的評論持正面評價 ', '設施設施在 22 則 Google 評論中有提到45% 的評論持負面評價 ', '清潔清潔在 12 則 Google 評論中有提到58% 的評論持正面評價 ', '服務服務在 8 則 Google 評論中有提到75% 的評論持正面評價 ', '停車場停車場在 8 則 Google 評論中有提到62% 的評論持正面評價 ', '早餐早餐在 7 則 Google 評論中有提到71% 的評論持正面評價 ', '設施設施在 22 則 Google 評論中有提到45% 的評論持負面評價 ', '清潔清潔在 12 則 Google 評論中有提到58% 的評論持正面評價 ', '服務服務在 8 則 Google 評論中有提到75% 的評論持正面評價 ']",在 180 則評論中，獲得 3.7 顆星 (滿分為 5 顆星)。良好。,,[],"['', '3.7良好\xa0|\xa0180 則評論']","['Chin Lin""平價飯店雖價格便宜但至少棉被要乾淨，有霉味的房間加上有霉味的棉被，品質很差。""', '陳思語""櫃檯服務不錯 隔音如果能改進…門鎖換新…加強隱私 提升顧客安全感會更好~""', '班傑明""老旅店，看裝潢就知道有年代了，環境一搬有附早餐，價位算是低價就別期待太多了。""']"
站前小保民宿(原我行我宿),970台灣花蓮縣花蓮市國民八街135號•+886 908 828 713,[],在 9 則評論中，獲得 2.9 顆星 (滿分為 5 顆星)。一般。,,[],"['', '2.9一般\xa0|\xa09 則評論']","['林嘉興""空間舒適，交通方便，好停車是重點，有問題老闆都會立即解決，價格親民，入住首選""', '吳家毓""普普通通，但床蠻好躺的""']"
花蓮瑞穗新鶴度假村,2 星級飯店978台灣花蓮縣瑞穗鄉中正南路二段76之5號•+886 3 887 6527,"['服務服務在 7 則 Google 評論中有提到71% 的評論持正面評價 ', '住宿住宿在 6 則 Google 評論中有提到83% 的評論持正面評價 ', '設施設施在 6 則 Google 評論中有提到50% 的評論持負面評價 ', '地點地點在 5 則 Google 評論中有提到80% 的評論持正面評價 ', '服務服務在 7 則 Google 評論中有提到71% 的評論持正面評價 ', '住宿住宿在 6 則 Google 評論中有提到83% 的評論持正面評價 ', '設施設施在 6 則 Google 評論中有提到50% 的評論持負面評價 ', '地點地點在 5 則 Google 評論中有提到80% 的評論持正面評價 ']",在 101 則評論中，獲得 3.5 顆星 (滿分為 5 顆星)。良好。,,[],"['', '3.5良好\xa0|\xa0101 則評論']","['羅彬""近可遊北回歸線站/木板大石（阿美族美麗的神門石）茶園咖啡樹等導覽。""', '賴家靖""1蚊子多 2早餐不好吃 3冷氣爛 4吹風機不好 5沒wi-fi""', 'Peter Lee""1919環台自行車隊選用的酒店，菜色好服務佳。""']"
毓琇圖書山莊,35343台灣苗栗縣南庄鄉里金館路35號•+886 3 782 3939,"['寵物寵物在 8 則 Google 評論中有提到88% 的評論持正面評價 ', '早餐早餐在 24 則 Google 評論中有提到96% 的評論持正面評價 ', '餐廳餐廳在 14 則 Google 評論中有提到100% 的評論持正面評價 ', '家庭料理家庭料理在 13 則 Google 評論中有提到100% 的評論持正面評價 ', '服務服務在 25 則 Google 評論中有提到96% 的評論持正面評價 ', '氣氛氣氛在 14 則 Google 評論中有提到93% 的評論持正面評價 ', '設施設施在 29 則 Google 評論中有提到86% 的評論持正面評價 ', '住宿住宿在 11 則 Google 評論中有提到73% 的評論持正面評價 ', '清潔清潔在 23 則 Google 評論中有提到96% 的評論持正面評價 ', '設施設施在 7 則 Google 評論中有提到57% 的評論持正面評價 ', '浴室浴室在 5 則 Google 評論中有提到40% 的評論持正面評價 ', '寵物寵物在 8 則 Google 評論中有提到88% 的評論持正面評價 ', '早餐早餐在 24 則 Google 評論中有提到96% 的評論持正面評價 ', '餐廳餐廳在 14 則 Google 評論中有提到100% 的評論持正面評價 ', '家庭料理家庭料理在 13 則 Google 評論中有提到100% 的評論持正面評價 ', '服務服務在 25 則 Google 評論中有提到96% 的評論持正面評價 ', '氣氛氣氛在 14 則 Google 評論中有提到93% 的評論持正面評價 ', '設施設施在 29 則 Google 評論中有提到86% 的評論持正面評價 ', '住宿住宿在 11 則 Google 評論中有提到73% 的評論持正面評價 ', '清潔清潔在 23 則 Google 評論中有提到96% 的評論持正面評價 ', '設施設施在 7 則 Google 評論中有提到57% 的評論持正面評價 ', '浴室浴室在 5 則 Google 評論中有提到40% 的評論持正面評價 ']",在 120 則評論中，獲得 4.6 顆星 (滿分為 5 顆星)。非常好。,,"['評分最高 : 這間飯店的使用者評分在這個地區名列前茅', '免費停車場 : 在附近類似的飯店中，有 52% 提供免費停車', '受家庭旅客歡迎 : 家庭旅客很喜歡這間飯店']","['', '4.6非常好\xa0|\xa0120 則評論']","['Brian""房間還算舒適，但隔音稍微差了一點，早上被小孩的嬉鬧聲吵醒，早餐普通，停車好停""', 'SUE""，這邊人熱情❤️拍照美❤️東西好吃❤️活動空間夠大❤️ 缺點就是山上蚊子多🤣', 'Manic Peng""天氣好的話星星很多，但停車場燈光太亮，加上地形遮蔽，觀星的範圍小，算是很可惜。""']"
昇財麗禧酒店,4 星級飯店510台灣彰化縣員林市中山路二段395號•+886 4 833 3999,"['夫妻/情侶夫妻/情侶在 48 則 Google 評論中有提到67% 的評論持正面評價 ', '廚房廚房在 21 則 Google 評論中有提到62% 的評論持正面評價 ', '餐飲餐飲在 91 則 Google 評論中有提到71% 的評論持正面評價 ', '酒吧酒吧在 21 則 Google 評論中有提到67% 的評論持正面評價 ', '早餐早餐在 93 則 Google 評論中有提到74% 的評論持正面評價 ', '停車場停車場在 74 則 Google 評論中有提到69% 的評論持正面評價 ', '大眾運輸大眾運輸在 8 則 Google 評論中有提到75% 的評論持正面評價 ', '家庭料理家庭料理在 16 則 Google 評論中有提到62% 的評論持正面評價 ', '商務設施商務設施在 22 則 Google 評論中有提到73% 的評論持正面評價 ', '娛樂娛樂在 12 則 Google 評論中有提到42% 的評論持負面評價 ', 'Wi-FiWi-Fi在 5 則 Google 評論中有提到40% 的評論持中立評價 ', '餐廳餐廳在 37 則 Google 評論中有提到70% 的評論持正面評價 ', '夜生活夜生活在 5 則 Google 評論中有提到60% 的評論持正面評價 ', '地點地點在 30 則 Google 評論中有提到80% 的評論持正面評價 ', '空調空調在 7 則 Google 評論中有提到71% 的評論持負面評價 ', '無障礙設施無障礙設施在 5 則 Google 評論中有提到40% 的評論持正面評價 ', '氣氛氣氛在 31 則 Google 評論中有提到87% 的評論持正面評價 ', '服務服務在 177 則 Google 評論中有提到76% 的評論持正面評價 ', '設施設施在 113 則 Google 評論中有提到80% 的評論持正面評價 ', '清潔清潔在 81 則 Google 評論中有提到85% 的評論持正面評價 ', '浴室浴室在 45 則 Google 評論中有提到51% 的評論持正面評價 ', '住宿住宿在 40 則 Google 評論中有提到45% 的評論持正面評價 ', '設施設施在 28 則 Google 評論中有提到39% 的評論持負面評價 ', '夫妻/情侶夫妻/情侶在 48 則 Google 評論中有提到67% 的評論持正面評價 ', '廚房廚房在 21 則 Google 評論中有提到62% 的評論持正面評價 ', '餐飲餐飲在 91 則 Google 評論中有提到71% 的評論持正面評價 ', '酒吧酒吧在 21 則 Google 評論中有提到67% 的評論持正面評價 ', '早餐早餐在 93 則 Google 評論中有提到74% 的評論持正面評價 ', '停車場停車場在 74 則 Google 評論中有提到69% 的評論持正面評價 ', '大眾運輸大眾運輸在 8 則 Google 評論中有提到75% 的評論持正面評價 ', '家庭料理家庭料理在 16 則 Google 評論中有提到62% 的評論持正面評價 ', '商務設施商務設施在 22 則 Google 評論中有提到73% 的評論持正面評價 ', '娛樂娛樂在 12 則 Google 評論中有提到42% 的評論持負面評價 ', 'Wi-FiWi-Fi在 5 則 Google 評論中有提到40% 的評論持中立評價 ', '餐廳餐廳在 37 則 Google 評論中有提到70% 的評論持正面評價 ', '夜生活夜生活在 5 則 Google 評論中有提到60% 的評論持正面評價 ', '地點地點在 30 則 Google 評論中有提到80% 的評論持正面評價 ', '空調空調在 7 則 Google 評論中有提到71% 的評論持負面評價 ', '無障礙設施無障礙設施在 5 則 Google 評論中有提到40% 的評論持正面評價 ', '氣氛氣氛在 31 則 Google 評論中有提到87% 的評論持正面評價 ', '服務服務在 177 則 Google 評論中有提到76% 的評論持正面評價 ', '設施設施在 113 則 Google 評論中有提到80% 的評論持正面評價 ', '清潔清潔在 81 則 Google 評論中有提到85% 的評論持正面評價 ', '浴室浴室在 45 則 Google 評論中有提到51% 的評論持正面評價 ', '住宿住宿在 40 則 Google 評論中有提到45% 的評論持正面評價 ', '設施設施在 28 則 Google 評論中有提到39% 的評論持負面評價 ']","在 1,832 則評論中，獲得 4.1 顆星 (滿分為 5 顆星)。很好。",,"['免費停車場 : 在附近類似的飯店中，有 75% 提供免費停車', '地點絕佳 : 房客喜歡這間飯店的地點', '服務親切 : 房客喜歡這間飯店的服務']","['', '4.1很好\xa0|\xa01,832 則評論']","['羅世宏""下午茶不推,沒什麼菜,只有鳳梨苦瓜湯跟水果好吃,但香蕉剝開裡面是爛掉的""', '蔣義銘""一樓餐廳環境舒適，角落燈光太暗了些，早餐菜色多元，有中西式菜色選擇，口味不錯。""', '張子元""家具顯舊，浴室無乾濕分離，蓮蓬頭水流量不大，房間面積尚可，室外停車場。""']"
