label,filtered_noun
0.0,價格 合理 舒適 房間 老闆娘 人 好 做 早餐 旅客 重點 早餐 吃到飽
0.0,內部 房間 乾淨 場地 團體 使用 覺得 棒
0.0,房間 小 美中不足 乾 濕 分離
0.0,房子 設計 棒 房間 採光 好 大廳 挑高 氣派 房價 合理 台東 住 民宿
0.0,Cp值 高 乾淨 舒適 空間 大樓 下 免費 吐司 咖啡 老闆 回復 速度
0.0,會客室 提供 免費 飲料 簡易 早餐 房間 設計 高雅 洗衣機 整體 小 美
1.0,風景 幽美 靠近 湖 地方 地點 適中 房間 優雅 清潔 衛生 服務 親切 高貴 貴
1.0,在 日月潭 地區 棒 飯店 服務 人員 親切 放鬆 趟 旅程
0.0,設備 部分 館 那裡 泳池 三溫暖 撞球 Xbox360 設施
0.0,雅房 浴室 在 房間 外 房子 門口 烤 肉 老闆 提供 桌椅 坐 聊天
0.0,營地 氣氛 悠閒 設備 齊全 交誼廳 聊天 電視 衛浴 空間 乾淨
1.0,風景 好 海港 海港 玩 水 密境 魚船 回 港 批 魚貨 新鮮 便宜
0.0,房間 乾淨 舒適 寧靜 安全 澎湖 觀光 旅遊 住宿 選擇
0.0,貴 民宿 老闆 老闆娘 親切 管家人 不錯
0.0,加 顆 星 六星級 cp值 超 高 老闆 人 超 好
1.0,離 鬧區 不遠 價格 便宜 房間 安靜 停車 方便 早餐 肉燥飯 豆漿 大推
1.0,舊 飯店 空間 配置 擁擠 免費 餅乾 茶包 咖啡包 附近 夜市 熱鬧
1.0,陸客團 住宿 飯店 大型 停車場 距離 嘉義 車站 不遠
1.0,交通 位置 好 老闆 nice 推薦 美食 浮潛 行程 棒 下 次 想
0.0,老闆 人 熱心 房間 陽台 乾淨 質感 溫度 舒服 民宿
0.0,門口 隱藏 鞋櫃 人工 草皮 外 水 空間 民宿 用品 品質 不錯
1.0,特區 體驗 輕軌 鐵道 感受 港都 高雄 多樣化 魅力 真心 推薦
0.0,棒 藝術 空間 吃 東西 住宿 展覽 老闆娘 超正
0.0,溫暖 內涵 民宿 值得 放鬆 渡假 推薦 超讚
0.0,餐點 用心 精緻 感受 女 老闆 食材 要求 店 貼心 情人節 活動 玩 開心
0.0,份 美食 吃 中 吃 房間 乾淨 舒適 程度 媲美 五星級 飯店
0.0,貼心 細節 靜待 來客 體會 感覺 老闆 花 心思 提供 旅人 舒適 住宿 空間
1.0,地點 不錯 房間 外面 陽台 海景 缺點 浴室 沐浴乳 補
0.0,裝潢 設備 不錯 清潔度 欠佳 房間 地板 桌子 床頭 椅子 沙子 浴缸 些 頭髮
1.0,早餐 簡單 風景 房型 風格 停車 方便
0.0,老闆娘 親切 漂亮 介紹 美食 旅遊 地點 民宿 在 庭院 收養 ㄧ 隻 流浪 貓咪 可愛
1.0,離 中 停車場 超 民宿 房間 乾淨 令 人 滿意 老闆娘 無比 親切 熱情 服務
1.0,地點 棒 靠近 水社 遊客 中心 乾淨 舒適 喜愛 龍貓 主題 環境 佈置 首選
0.0,人潮 下降 明顯 狀況 建議 民宿 主人 考慮 降低 房價
0.0,家 溫暖 5星級 飯店 舒適感 好友 般 熱情 主人 家 民宿 棒
1.0,空間 寬敞 燈光 明亮 床墊 軟 廁所 乾淨 腳踏車 騎 好 山 好 水 好 風景
0.0,烤 肉 唱 KTV 房間 照片 舒適 推薦 親子 朋友 前來
0.0,冰箱 免費 水 飲料 提供 咖啡 茶包 餅乾 下 次 住宿
0.0,乾淨 舒適 燈光 美 氣氛 佳 床 軟 推薦 201 中國風 按摩椅 按摩 浴缸
0.0,房間 品質 好 裝潢 質感 高級 花俏 超讚
0.0,可愛 怕生 貓咪 業者 經營 餐廳 島 旅遊 行程 機車 出租
1.0,住 想 體驗 在 虎井 住宿 虎井 不錯 景觀 船班 太少 可惜
0.0,樓下 來來 鮮魚湯 老闆 開 吃飯 機車 租 房客 優惠 50 元 方便
0.0,旅館 些 老舊 房間 溫泉池 溫泉 冬天 海浪 夏日 好
1.0,25 坪 原木 裝潢 外面 露台 張 躺椅 看到 遠處 海邊 庭院 整 景色 愜意 優美
