reviews,value,comfort,location,cleanliness,service,ws_pos_reviews,filtered,filtered_noun
價格合理舒適的房間老闆娘人很好還會自己做早餐給旅客重點是早餐吃到飽,1.0,1.0,0.0,0.0,1.0,"價格(Na),合理(VH),舒適(VH),的(DE),房間(Nc),老闆娘(Na),人(Na),很(Dfa),好(VH),還(D),會(D),自己(Nh),做(VC),早餐(Na),給(VD),旅客(Na),重點(Na),是(SHI),早餐(Na),吃到飽(VC)","價格(Na),合理(VH),舒適(VH),房間(Nc),老闆娘(Na),人(Na),好(VH),做(VC),早餐(Na),旅客(Na),重點(Na),早餐(Na),吃到飽(VC)","價格(Na),合理(VH),舒適(VH),房間(Nc),老闆娘(Na),人(Na),好(VH),做(VC),早餐(Na),旅客(Na),重點(Na),早餐(Na),吃到飽(VC)"
內部房間滿乾淨的還有大場地可以讓團體來使用我覺得很棒,0.0,1.0,0.0,1.0,0.0,"內部(Ncd),房間(Nc),滿(Dfa),乾淨(VH),的(DE),還(D),有(V_2),大(VH),場地(Na),可以(D),讓(VL),團體(Na),來(D),使用(VC),我(Nh),覺得(VK),很(Dfa),棒(VH)","內部(Ncd),房間(Nc),乾淨(VH),場地(Na),團體(Na),使用(VC),覺得(VK),棒(VH)","內部(Ncd),房間(Nc),乾淨(VH),場地(Na),團體(Na),使用(VC),覺得(VK),棒(VH)"
隔音還可以房間不小但美中不足沒有乾濕分離,0.0,1.0,0.0,0.0,0.0,"隔音(A),還可以(D),房間(Nc),不(D),小(VH),但(Cbb),美中不足(VH),沒有(VJ),乾(VH),濕(VH),分離(VHC)","隔音(A),還可以(D),房間(Nc),小(VH),美中不足(VH),乾(VH),濕(VH),分離(VHC)","房間(Nc),小(VH),美中不足(VH),乾(VH),濕(VH),分離(VHC)"
房子設計的很棒房間採光很好大廳挑高氣派房價合理台東必住民宿,1.0,1.0,0.0,0.0,0.0,"房子(Na),設計(VC),的(DE),很(Dfa),棒(VH),房間(Nc),採光(Na),很(Dfa),好(VH),大廳(Nc),挑高(VH),氣派(Na),房價(Na),合理(VH),台東(Nc),必(D),住(VCL),民宿(Nc)","房子(Na),設計(VC),棒(VH),房間(Nc),採光(Na),好(VH),大廳(Nc),挑高(VH),氣派(Na),房價(Na),合理(VH),台東(Nc),住(VCL),民宿(Nc)","房子(Na),設計(VC),棒(VH),房間(Nc),採光(Na),好(VH),大廳(Nc),挑高(VH),氣派(Na),房價(Na),合理(VH),台東(Nc),住(VCL),民宿(Nc)"
Cp值高乾淨舒適空間大樓下有免費吐司和咖啡老闆回復速度快,1.0,1.0,0.0,0.0,1.0,"Cp值(FW),高(VH),乾淨(VH),舒適(VH),空間(Na),大樓(Na),下(Ncd),有(V_2),免費(VH),吐司(Na),和(Caa),咖啡(Na),老闆(Na),回復(VJ),速度(Na),快(VH)","Cp值(FW),高(VH),乾淨(VH),舒適(VH),空間(Na),大樓(Na),下(Ncd),免費(VH),吐司(Na),咖啡(Na),老闆(Na),回復(VJ),速度(Na)","高(VH),乾淨(VH),舒適(VH),空間(Na),大樓(Na),下(Ncd),免費(VH),吐司(Na),咖啡(Na),老闆(Na),回復(VJ),速度(Na)"
會客室提供免費飲料及簡易早餐房間設計高雅有洗衣機整體而言就是小而美,1.0,1.0,0.0,0.0,1.0,"會客室(Nc),提供(VD),免費(VH),飲料(Na),及(Caa),簡易(VH),早餐(Na),房間(Nc),設計(Na),高雅(VH),有(V_2),洗衣機(Na),整體(Na),而言(Cbb),就(D),是(SHI),小(VH),而(Caa),美(VH)","會客室(Nc),提供(VD),免費(VH),飲料(Na),簡易(VH),早餐(Na),房間(Nc),設計(Na),高雅(VH),洗衣機(Na),整體(Na),小(VH),美(VH)","會客室(Nc),提供(VD),免費(VH),飲料(Na),簡易(VH),早餐(Na),房間(Nc),設計(Na),高雅(VH),洗衣機(Na),整體(Na),小(VH),美(VH)"
風景幽美靠近湖邊的地方地點適中房間優雅清潔衛生服務親切高貴不貴,1.0,1.0,1.0,1.0,1.0,"風景(Na),幽美(VH),靠近(VC),湖(Na),邊(Ncd),的(DE),地方(Na),地點(Na),適中(VH),房間(Nc),優雅(VH),清潔(VH),衛生(Na),服務(VC),親切(VH),高貴(VH),不(D),貴(VH)","風景(Na),幽美(VH),靠近(VC),湖(Na),地方(Na),地點(Na),適中(VH),房間(Nc),優雅(VH),清潔(VH),衛生(Na),服務(VC),親切(VH),高貴(VH),貴(VH)","風景(Na),幽美(VH),靠近(VC),湖(Na),地方(Na),地點(Na),適中(VH),房間(Nc),優雅(VH),清潔(VH),衛生(Na),服務(VC),親切(VH),高貴(VH),貴(VH)"
在日月潭地區是很棒的一個飯店服務人員親切可以放鬆的來一趟旅程,0.0,0.0,1.0,0.0,1.0,"在(P),日月潭(Nc),地區(Nc),是(SHI),很(Dfa),棒(VH),的(DE),一(Neu),個(Nf),飯店(Nc),服務(VC),人員(Na),親切(VH),可以(D),放鬆(VHC),的(DE),來(VA),一(Neu),趟(Nf),旅程(Na)","日月潭(Nc),地區(Nc),棒(VH),飯店(Nc),服務(VC),人員(Na),親切(VH),放鬆(VHC),趟(Nf),旅程(Na)","日月潭(Nc),地區(Nc),棒(VH),飯店(Nc),服務(VC),人員(Na),親切(VH),放鬆(VHC),趟(Nf),旅程(Na)"
設備的部分可以去本館那裡有泳池三溫暖撞球跟Xbox360設施,0.0,1.0,0.0,0.0,0.0,"設備(Na),的(DE),部分(Neqa),可以(D),去(VCL),本(Nes),館(Nc),那裡(Ncd),有(V_2),泳池(Na),三溫暖(Na),撞球(VA),跟(Caa),Xbox360(FW),設施(Na)","設備(Na),部分(Neqa),館(Nc),那裡(Ncd),泳池(Na),三溫暖(Na),撞球(VA),Xbox360(FW),設施(Na)","設備(Na),部分(Neqa),館(Nc),那裡(Ncd),泳池(Na),三溫暖(Na),撞球(VA),設施(Na)"
雅房的浴室在房間外房子門口可以烤肉老闆提供桌椅可以坐著聊天,0.0,1.0,0.0,0.0,0.0,"雅房(Nc),的(DE),浴室(Nc),在(P),房間(Nc),外(Ncd),房子(Na),門口(Nc),可以(D),烤(VC),肉(Na),老闆(Na),提供(VD),桌椅(Na),可以(D),坐(VA),著(Di),聊天(VA)","雅房(Nc),浴室(Nc),房間(Nc),外(Ncd),房子(Na),門口(Nc),烤(VC),肉(Na),老闆(Na),提供(VD),桌椅(Na),坐(VA),聊天(VA)","雅房(Nc),浴室(Nc),房間(Nc),外(Ncd),房子(Na),門口(Nc),烤(VC),肉(Na),老闆(Na),提供(VD),桌椅(Na),坐(VA),聊天(VA)"
營地氣氛悠閒設備齊全有交誼廳可以聊天看電視且衛浴空間乾淨,0.0,1.0,0.0,1.0,0.0,"營地(Nc),氣氛(Na),悠閒(VH),設備(Na),齊全(VH),有(V_2),交誼廳(Nc),可以(D),聊天(VA),看(VC),電視(Na),且(Caa),衛浴(Na),空間(Na),乾淨(VH)","營地(Nc),氣氛(Na),悠閒(VH),設備(Na),齊全(VH),交誼廳(Nc),聊天(VA),電視(Na),衛浴(Na),空間(Na),乾淨(VH)","營地(Nc),氣氛(Na),悠閒(VH),設備(Na),齊全(VH),交誼廳(Nc),聊天(VA),電視(Na),衛浴(Na),空間(Na),乾淨(VH)"
風景好近海港海港邊有玩水密境魚船回港還可以去批魚貨新鮮又便宜,0.0,0.0,1.0,0.0,0.0,"風景(Na),好(VH),近(VJ),海港(Nc),海港(Nc),邊(Ncd),有(V_2),玩(VA),水(Na),密境(Na),魚船(Na),回(VCL),港(Nc),還可以(D),去(D),批(VC),魚貨(Na),新鮮(VH),又(Caa),便宜(VH)","風景(Na),好(VH),海港(Nc),海港(Nc),玩(VA),水(Na),密境(Na),魚船(Na),回(VCL),港(Nc),還可以(D),批(VC),魚貨(Na),新鮮(VH),便宜(VH)","風景(Na),好(VH),海港(Nc),海港(Nc),玩(VA),水(Na),密境(Na),魚船(Na),回(VCL),港(Nc),批(VC),魚貨(Na),新鮮(VH),便宜(VH)"
房間乾淨舒適寧靜安全是到澎湖觀光旅遊住宿的最佳選擇,0.0,1.0,0.0,1.0,0.0,"房間(Nc),乾淨(VH),舒適(VH),寧靜(VH),安全(VH),是(SHI),到(VCL),澎湖(Nc),觀光(VA),旅遊(VA),住宿(VA),的(DE),最佳(A),選擇(VC)","房間(Nc),乾淨(VH),舒適(VH),寧靜(VH),安全(VH),澎湖(Nc),觀光(VA),旅遊(VA),住宿(VA),最佳(A),選擇(VC)","房間(Nc),乾淨(VH),舒適(VH),寧靜(VH),安全(VH),澎湖(Nc),觀光(VA),旅遊(VA),住宿(VA),選擇(VC)"
貴民宿的老闆和老闆娘很親切管家人也不錯,0.0,0.0,0.0,0.0,1.0,"貴(Nes),民宿(Nc),的(DE),老闆(Na),和(Caa),老闆娘(Na),很(Dfa),親切(VH),管家人(Na),也(D),不錯(VH)","貴(Nes),民宿(Nc),老闆(Na),老闆娘(Na),親切(VH),管家人(Na),不錯(VH)","貴(Nes),民宿(Nc),老闆(Na),老闆娘(Na),親切(VH),管家人(Na),不錯(VH)"
可以再加一顆星六星級cp值超高老闆人超好,1.0,0.0,0.0,0.0,1.0,"可以(D),再(D),加(VC),一(Neu),顆(Nf),星(Na),六星級(Na),cp值(FW),超(VH),高(VH),老闆(Na),人(Na),超(VH),好(VH)","再(D),加(VC),顆(Nf),星(Na),六星級(Na),cp值(FW),超(VH),高(VH),老闆(Na),人(Na),超(VH),好(VH)","加(VC),顆(Nf),星(Na),六星級(Na),超(VH),高(VH),老闆(Na),人(Na),超(VH),好(VH)"
離鬧區不遠價格便宜房間安靜停車超方便早餐肉燥飯和豆漿大推,1.0,1.0,1.0,0.0,1.0,"離(P),鬧區(Nc),不遠(VH),價格(Na),便宜(VH),房間(Nc),安靜(VH),停車(VA),超(Dfa),方便(VH),早餐(Na),肉燥飯(Na),和(Caa),豆漿(Na),大推(VC)","鬧區(Nc),不遠(VH),價格(Na),便宜(VH),房間(Nc),安靜(VH),停車(VA),超(Dfa),方便(VH),早餐(Na),肉燥飯(Na),豆漿(Na),大推(VC)","鬧區(Nc),不遠(VH),價格(Na),便宜(VH),房間(Nc),安靜(VH),停車(VA),方便(VH),早餐(Na),肉燥飯(Na),豆漿(Na),大推(VC)"
舊飯店空間配置不擁擠有免費餅乾茶包咖啡包附近有夜市可是好像不熱鬧,1.0,1.0,1.0,0.0,1.0,"舊(VH),飯店(Nc),空間(Na),配置(Nv),不(D),擁擠(VH),有(V_2),免費(VH),餅乾(Na),茶包(Na),咖啡包(Na),附近(Nc),有(V_2),夜市(Nc),可是(D),好像(D),不(D),熱鬧(VH)","舊(VH),飯店(Nc),空間(Na),配置(Nv),擁擠(VH),免費(VH),餅乾(Na),茶包(Na),咖啡包(Na),附近(Nc),夜市(Nc),好像(D),熱鬧(VH)","舊(VH),飯店(Nc),空間(Na),配置(Nv),擁擠(VH),免費(VH),餅乾(Na),茶包(Na),咖啡包(Na),附近(Nc),夜市(Nc),熱鬧(VH)"
陸客團的住宿飯店有大型停車場距離嘉義車站不遠,0.0,1.0,1.0,0.0,0.0,"陸客團(Na),的(DE),住宿(VA),飯店(Nc),有(V_2),大型(Na),停車場(Nc),距離(P),嘉義(Nc),車站(Nc),不遠(VH)","陸客團(Na),住宿(VA),飯店(Nc),大型(Na),停車場(Nc),距離(P),嘉義(Nc),車站(Nc),不遠(VH)","陸客團(Na),住宿(VA),飯店(Nc),大型(Na),停車場(Nc),嘉義(Nc),車站(Nc),不遠(VH)"
交通位置很好老闆很nice推薦很多美食浮潛行程也很棒下次還想再來,0.0,1.0,1.0,0.0,1.0,"交通(Na),位置(Na),很(Dfa),好(VH),老闆(Na),很(Dfa),nice(FW),推薦(VC),很多(Neqa),美食(Na),浮潛(VA),行程(Na),也(D),很(Dfa),棒(VH),下(Nes),次(Nf),還(D),想(VE),再(D),來(D)","交通(Na),位置(Na),好(VH),老闆(Na),nice(FW),推薦(VC),美食(Na),浮潛(VA),行程(Na),棒(VH),下(Nes),次(Nf),想(VE),再(D)","交通(Na),位置(Na),好(VH),老闆(Na),推薦(VC),美食(Na),浮潛(VA),行程(Na),棒(VH),下(Nes),次(Nf),想(VE)"
老闆人很熱心房間都有大陽台很乾淨有質感是很有溫度舒服的民宿,0.0,1.0,0.0,1.0,1.0,"老闆(Na),人(Na),很(Dfa),熱心(VJ),房間(Nc),都(D),有(V_2),大(VH),陽台(Na),很(Dfa),乾淨(VH),有(V_2),質感(Na),是(SHI),很(Dfa),有(V_2),溫度(Na),舒服(VH),的(DE),民宿(Nc)","老闆(Na),人(Na),熱心(VJ),房間(Nc),陽台(Na),乾淨(VH),質感(Na),溫度(Na),舒服(VH),民宿(Nc)","老闆(Na),人(Na),熱心(VJ),房間(Nc),陽台(Na),乾淨(VH),質感(Na),溫度(Na),舒服(VH),民宿(Nc)"
門口除了有隱藏鞋櫃和人工草皮外還有一個沖水的空間民宿內的用品品質相當不錯,0.0,1.0,0.0,0.0,0.0,"門口(Nc),除了(P),有(V_2),隱藏(VC),鞋櫃(Na),和(Caa),人工(Na),草皮(Na),外(Ng),還(D),有(V_2),一(Neu),個(Nf),沖(VC),水(Na),的(DE),空間(Na),民宿(Nc),內(Ncd),的(DE),用品(Na),品質(Na),相當(Dfa),不錯(VH)","門口(Nc),隱藏(VC),鞋櫃(Na),人工(Na),草皮(Na),外(Ng),水(Na),空間(Na),民宿(Nc),用品(Na),品質(Na),相當(Dfa),不錯(VH)","門口(Nc),隱藏(VC),鞋櫃(Na),人工(Na),草皮(Na),外(Ng),水(Na),空間(Na),民宿(Nc),用品(Na),品質(Na),不錯(VH)"
