X_test,y_test,pre
歐式(A) 建築 莊園 民宿 戶外 休閒 泡茶 聊天 好 地方 佈置 溫馨 空間 寬敞,0.0,0.0
臨近 八仙山 風景區 飯店 舒適 服務 人員 熱情 親切 有 會議 場地 適合 公司 舉辦 活動,0.0,0.0
有 特色 一 個 民宿 裡面 很多 家具 物品 民宿 主人 製作,0.0,0.0
房子 氣氛 佳 擺設 好看 位子 很少 甜點 飲料 不錯 包廂 裡面 棒 安靜 好,0.0,0.0
四 人 房 空間 大 有 陽台 看 到 海  隔音(A) 效果 佳 老闆娘 熱心 地理 位子 讚,0.0,0.0
房間 標準 咖啡 好喝 地點 方便,0.0,0.0
舒適 浴室 空間 大 乾 濕 分離 適合 團體 大 家庭,0.0,0.0
晚上 夜景 漂亮 餐廳 晚餐 有 自費 蔬食 火鍋 沒 肉 量 多少 吃 完,0.0,0.0
餐廳 點 泡菜 火鍋 量 多 個人 覺得 湯頭 淡 喜歡 風景 不錯,0.0,0.0
交通 方便 附餐 跟 飲料 咖啡 好喝 住宿 cp 值 高 在 鬧區 隔音(A) 寧靜,1.0,1.0
夜景 漂亮 看 到 85 大樓 房價 貴 CP值 高,1.0,1.0
放空 好 所在 老闆 老闆娘 親切 櫻花季 美 露營區 草皮 適合 親子 狗狗 運動,0.0,0.0
離 捷運站 遠 附近 有 全聯 市場 宵夜 方便 環境 整潔 舒適,0.0,0.0
沙發 六 人 房 寬敞 闆娘 人 客氣 可惜 房間 沒 冰箱 冰 東西,0.0,0.0
水管 爆掉 三 次 可怕 沒 訊號 聯絡 老闆,0.0,0.0
服務 親切 附近 有 攤販 店家 吃 方便 房間 乾凈 早餐 好吃 推薦 入住,0.0,0.0
服務 好 設施 令 人 驚艷 價 三五 好友 唱 KTV 花 少 錢 唱 爽,1.0,0.0
神秘 地方 地處 偏遠 老闆娘 人 親切 遠離 塵囂 親近 大自然,0.0,0.0
臨近 松菸 文創 地點 佳 住房 旅館 停車 方便 週邊 美食 小吃 多 推薦,0.0,0.0
