reviews,value,comfort,location,cleanliness,service,ws_pos_reviews,filtered,filtered_noun
價格合理舒適的房間老闆娘人很好還會自己做早餐給旅客重點是早餐吃到飽,1.0,1.0,0.0,0.0,1.0,"價格(Na),合理(VH),舒適(VH),的(DE),房間(Nc),老闆娘(Na),人(Na),很(Dfa),好(VH),還(D),會(D),自己(Nh),做(VC),早餐(Na),給(VD),旅客(Na),重點(Na),是(SHI),早餐(Na),吃到飽(VC)","價格(Na),合理(VH),舒適(VH),房間(Nc),老闆娘(Na),人(Na),很(Dfa),好(VH),還(D),會(D),做(VC),早餐(Na),旅客(Na),重點(Na),早餐(Na),吃到飽(VC)","價格(Na),房間(Nc),老闆娘(Na),人(Na),早餐(Na),旅客(Na),重點(Na),早餐(Na)"
內部房間滿乾淨的還有大場地可以讓團體來使用我覺得很棒,0.0,1.0,0.0,1.0,0.0,"內部(Ncd),房間(Nc),滿(Dfa),乾淨(VH),的(DE),還(D),有(V_2),大(VH),場地(Na),可以(D),讓(VL),團體(Na),來(D),使用(VC),我(Nh),覺得(VK),很(Dfa),棒(VH)","內部(Ncd),房間(Nc),滿(Dfa),乾淨(VH),還(D),大(VH),場地(Na),團體(Na),使用(VC),覺得(VK),很(Dfa),棒(VH)","內部(Ncd),房間(Nc),場地(Na),團體(Na)"
隔音還可以房間不小但美中不足沒有乾濕分離,0.0,1.0,0.0,0.0,0.0,"隔音(A),還可以(D),房間(Nc),不(D),小(VH),但(Cbb),美中不足(VH),沒有(VJ),乾(VH),濕(VH),分離(VHC)","隔音(A),還可以(D),房間(Nc),不(D),小(VH),美中不足(VH),沒有(VJ),乾(VH),濕(VH),分離(VHC)",房間(Nc)
房子設計的很棒房間採光很好大廳挑高氣派房價合理台東必住民宿,1.0,1.0,0.0,0.0,0.0,"房子(Na),設計(VC),的(DE),很(Dfa),棒(VH),房間(Nc),採光(Na),很(Dfa),好(VH),大廳(Nc),挑高(VH),氣派(Na),房價(Na),合理(VH),台東(Nc),必(D),住(VCL),民宿(Nc)","房子(Na),設計(VC),很(Dfa),棒(VH),房間(Nc),採光(Na),很(Dfa),好(VH),大廳(Nc),挑高(VH),氣派(Na),房價(Na),合理(VH),台東(Nc),必(D),住(VCL),民宿(Nc)","房子(Na),房間(Nc),採光(Na),大廳(Nc),氣派(Na),房價(Na),台東(Nc),民宿(Nc)"
Cp值高乾淨舒適空間大樓下有免費吐司和咖啡老闆回復速度快,1.0,1.0,0.0,0.0,1.0,"Cp值(FW),高(VH),乾淨(VH),舒適(VH),空間(Na),大樓(Na),下(Ncd),有(V_2),免費(VH),吐司(Na),和(Caa),咖啡(Na),老闆(Na),回復(VJ),速度(Na),快(VH)","Cp值(FW),高(VH),乾淨(VH),舒適(VH),空間(Na),大樓(Na),下(Ncd),免費(VH),吐司(Na),咖啡(Na),老闆(Na),回復(VJ),速度(Na),快(VH)","空間(Na),大樓(Na),下(Ncd),吐司(Na),咖啡(Na),老闆(Na),速度(Na)"
會客室提供免費飲料及簡易早餐房間設計高雅有洗衣機整體而言就是小而美,1.0,1.0,0.0,0.0,1.0,"會客室(Nc),提供(VD),免費(VH),飲料(Na),及(Caa),簡易(VH),早餐(Na),房間(Nc),設計(Na),高雅(VH),有(V_2),洗衣機(Na),整體(Na),而言(Cbb),就(D),是(SHI),小(VH),而(Caa),美(VH)","會客室(Nc),提供(VD),免費(VH),飲料(Na),簡易(VH),早餐(Na),房間(Nc),設計(Na),高雅(VH),洗衣機(Na),整體(Na),小(VH),美(VH)","會客室(Nc),飲料(Na),早餐(Na),房間(Nc),設計(Na),洗衣機(Na),整體(Na)"
風景幽美靠近湖邊的地方地點適中房間優雅清潔衛生服務親切高貴不貴,1.0,1.0,1.0,1.0,1.0,"風景(Na),幽美(VH),靠近(VC),湖(Na),邊(Ncd),的(DE),地方(Na),地點(Na),適中(VH),房間(Nc),優雅(VH),清潔(VH),衛生(Na),服務(VC),親切(VH),高貴(VH),不(D),貴(VH)","風景(Na),幽美(VH),靠近(VC),湖(Na),地方(Na),地點(Na),適中(VH),房間(Nc),優雅(VH),清潔(VH),衛生(Na),服務(VC),親切(VH),高貴(VH),不(D),貴(VH)","風景(Na),湖(Na),地方(Na),地點(Na),房間(Nc),衛生(Na)"
在日月潭地區是很棒的一個飯店服務人員親切可以放鬆的來一趟旅程,0.0,0.0,1.0,0.0,1.0,"在(P),日月潭(Nc),地區(Nc),是(SHI),很(Dfa),棒(VH),的(DE),一(Neu),個(Nf),飯店(Nc),服務(VC),人員(Na),親切(VH),可以(D),放鬆(VHC),的(DE),來(VA),一(Neu),趟(Nf),旅程(Na)","日月潭(Nc),地區(Nc),很(Dfa),棒(VH),飯店(Nc),服務(VC),人員(Na),親切(VH),放鬆(VHC),趟(Nf),旅程(Na)","日月潭(Nc),地區(Nc),飯店(Nc),人員(Na),趟(Nf),旅程(Na)"
設備的部分可以去本館那裡有泳池三溫暖撞球跟Xbox360設施,0.0,1.0,0.0,0.0,0.0,"設備(Na),的(DE),部分(Neqa),可以(D),去(VCL),本(Nes),館(Nc),那裡(Ncd),有(V_2),泳池(Na),三溫暖(Na),撞球(VA),跟(Caa),Xbox360(FW),設施(Na)","設備(Na),部分(Neqa),去(VCL),館(Nc),泳池(Na),三溫暖(Na),撞球(VA),Xbox360(FW),設施(Na)","設備(Na),部分(Neqa),館(Nc),泳池(Na),三溫暖(Na),設施(Na)"
雅房的浴室在房間外房子門口可以烤肉老闆提供桌椅可以坐著聊天,0.0,1.0,0.0,0.0,0.0,"雅房(Nc),的(DE),浴室(Nc),在(P),房間(Nc),外(Ncd),房子(Na),門口(Nc),可以(D),烤(VC),肉(Na),老闆(Na),提供(VD),桌椅(Na),可以(D),坐(VA),著(Di),聊天(VA)","雅房(Nc),浴室(Nc),房間(Nc),外(Ncd),房子(Na),門口(Nc),烤(VC),肉(Na),老闆(Na),提供(VD),桌椅(Na),坐(VA),聊天(VA)","雅房(Nc),浴室(Nc),房間(Nc),外(Ncd),房子(Na),門口(Nc),肉(Na),老闆(Na),桌椅(Na)"
