reviews,value,comfort,location,cleanliness,service
價格合理 舒適的房間 老闆娘人很好還會自己做早餐給旅客 重點是早餐吃到飽,1,1,0,0,1
內部房間滿乾淨的，還有大場地，可以讓團體來使用，我覺得很棒,0,1,0,1,0
隔音還可以，房間不小，但美中不足沒有乾濕分離,0,1,0,0,0
"房子設計的很棒 房間採光很好 大廳挑高氣派 房價合理 台東必住民宿	",1,1,0,0,0
Cp值高 乾淨舒適空間大 樓下有免費吐司和咖啡 老闆回復速度快,1,1,0,0,1
"會客室提供免費飲料及簡易早餐, 房間設計高雅, 有洗衣機, 整體而言就是小而美.	",1,1,0,0,1
"風景幽美，靠近湖邊的地方，地點適中，房間優雅清潔衛生，服務親切，高貴不貴。	",1,1,1,1,1
"在日月潭地區是很棒的一個飯店，服務人員親切，可以放鬆的來一趟旅程	",0,0,1,0,1
"設備的部分可以去本館，那裡有泳池、三溫暖、撞球跟Xbox360設施	",0,1,0,0,0
"雅房的浴室在房間外，房子門口可以烤肉，老闆提供桌椅可以坐著聊天。	",0,1,0,0,0
"營地氣氛悠閒、設備齊全，有交誼廳可以聊天、看電視，且衛浴空間乾淨！	",0,1,0,1,0
"風景好，近海港海港邊有玩水密境，魚船回港還可以去批魚貨，新鮮又便宜	",0,0,1,0,0
"房間乾淨舒適、寧靜安全，是到澎湖觀光旅遊住宿的最佳選擇！	",0,1,0,1,0
"貴民宿的老闆和老闆娘很親切，管家人也不錯。	",0,0,0,0,1
可以再加一顆星！六星級cp值超高，老闆人超好,1,0,0,0,1
"離鬧區不遠，價格便宜，房間安靜，停車超方便，早餐肉燥飯和豆漿大推！	",1,1,1,0,1
"舊飯店空間配置不擁擠，有免費餅乾茶包咖啡包，附近有夜市可是好像不熱鬧	",1,1,1,0,1
"陸客團的住宿飯店，有大型停車場，距離嘉義車站不遠！	",0,1,1,0,0
"交通位置很好 老闆很nice,推薦很多美食 浮潛行程也很棒 下次還想再來。	",0,1,1,0,1
"老闆人很熱心房間都有大陽台，很乾淨有質感。是很有溫度舒服的民宿	",0,1,0,1,1
"門口除了有隱藏鞋櫃和人工草皮外還有一個沖水的空間。民宿內的用品品質相當不錯！	",0,1,0,0,0
二特區、還能體驗輕軌鐵道感受港都高雄多樣化的魅力，真心推薦,0,0,1,0,0
"很棒的藝術空間，不止可以吃東西，也能住宿，定期也會有不同的展覽，而且老闆娘超正的	",0,1,0,0,1
"有溫暖、有內涵的民宿！值得再次來放鬆渡假！極力推薦！超讚！	",0,0,0,0,1
"餐點用心精緻，可以感受女老闆對於食材的要求。店內還有貼心的情人節活動，玩得很開心	",0,1,0,0,1
"的九份美食絕對是必吃中的必吃 房間乾淨舒適程度媲美五星級飯店	",0,1,0,1,0
"很多貼心的細節靜待來客體會，感覺得到老闆花了很多心思提供旅人舒適的住宿空間。	",0,1,0,0,1
"地點不錯 房間外面有陽台可以看海景 缺點就是浴室的沐浴乳快沒了 沒有補	",0,1,1,0,1
"裝潢與設備還不錯，但清潔度欠佳。房間地板桌子床頭椅子都是沙子∼ 浴缸還有些頭髮。	",0,1,0,1,0
"早餐簡單2, 風景5, 房型風格5, 隔音3, 停車方便8	",0,1,1,0,1
"老闆娘很親切漂亮，會介紹美食及旅遊地點，民宿在庭院有收養ㄧ隻流浪貓咪很可愛。	",0,0,0,0,1
"離中與停車場超近的民宿，房間乾淨 而最令人滿意的是老闆娘無比親切熱情的服務！	",0,0,1,1,1
"地點很棒靠近水社遊客中心，乾淨舒適，喜愛龍貓主題環境佈置的首選~	",0,1,1,1,0
"人潮下降明顯的狀況而言，建議民宿主人可以考慮降低房價。	",1,0,0,0,0
"有家的溫暖，還有5星級飯店的舒適感，更有像好友般的熱情主人，這家民宿真的很棒。	",0,1,0,0,1
"空間寬敞，燈光明亮，床墊很軟，廁所乾淨，有腳踏車可以騎，好山好水好風景	",0,1,1,1,0
"、烤肉和唱KTV，房間比照片大又舒適，很推薦親子或朋友一同前來！	",0,1,0,0,0
"冰箱有免費的水和飲料，也有提供咖啡.茶包.餅乾，下次會再去住宿的。	",1,0,0,0,1
"乾淨，舒適，燈光美，氣氛佳，床很軟，推薦201的中國風有按摩椅，很大的按摩浴缸	",0,1,0,1,0
"房間大 品質好 裝潢質感高級而不花俏 超讚 一定會再來	",0,1,0,0,0
"有不少可愛不怕生的貓咪，業者本身還經營餐廳和島上旅遊行程以及機車出租	",0,1,0,0,0
"雖然還沒有住過，不過很想體驗在虎井的住宿，虎井有不錯的景觀，船班太少，可惜！	",0,0,1,0,0
"樓下來來鮮魚湯是老闆開的，可吃飯，也有機車可租 (房客優惠50元)，非常方便。	",1,1,0,0,1
"旅館有些老舊，房間不大，有溫泉池，但是沒溫泉，冬天看海浪，夏日比較好吧！	",0,1,0,0,0
"25坪的原木裝潢，外面露台有2張躺椅，可以看到遠處海邊庭院整個景色，很愜意優美	",0,1,1,0,0
"放空 咖啡 夕陽 海景 只能給它滿分	",0,0,1,0,1
"地點很棒，距離捷運站500公尺，旁邊有便利商店、餐廳酒吧林立，離百貨商圈也不遠。	",0,0,1,0,0
"室內裝潢與衛生環境我很滿意，但說服務品質與住宿體驗我給4顆星。可以再繼續加油！	",0,1,0,1,1
"但是房間及衛浴完全沒有放置物品及掛衣服的地方，有待改善。	",0,1,0,0,0
"民宿位於朝日溫泉附近，這邊吃的店家很少，建議在鬧區先用餐。	",0,0,1,0,0
"房間十分舒適，不過距離市區頗遠的，因為住宿並未有附早餐，可能會有點不便	",0,1,1,0,1
"老闆非常熱情，住宿環境很棒∼ 還有行程講解，活動套票非常優惠！	",1,1,0,0,1
"逛街購物蛋黃區，設備還可以，若有開車建議早到才能有位子停車	",0,1,1,0,0
"這家是我在住過最爛的旅館，房間非常小，早餐是我吃過最爛的。	",0,1,0,0,1
"水龍頭水超級小，隔音差，壁紙掉落，冰箱還有上一位客人飲品	",0,1,0,1,0
"房間舒適乾淨 環境令人放鬆	",0,1,0,1,0
"老闆跟老闆娘很親切，推薦	",0,0,0,0,1
"風景優美，民宿整齊清潔，老闆很親切。	",0,0,1,1,1
"普通，房間整齊但外觀實在不行 早餐種類少，但還算可以 房客幾乎日本人居多	",0,1,0,1,1
"乾淨舒適，服務親切，有腳踏車可以借，唯獨電視品質普通，大多為衛星日本電視	",0,1,0,1,1
"四人房空間滿大的，環境簡單乾淨，服務人員也親切，只可惜晚上的隔音很不好。	",0,1,0,1,1
"三樓屋頂很適合看海，很棒的地方，服務親切，房間安靜。	",0,1,1,0,1
"地點離機場很近 非常方便 民宿房間和公用空間都很乾淨 廁所很大間	",0,1,1,1,0
"頂樓就能放空發呆，cp值高的好民宿，小管家很和善對房客很好	",1,1,0,0,1
"有家的溫暖、飯店的舒適還有小管家親切的招待。有機會一定會再去拜訪。	",0,1,0,0,1
"環境清幽，房型舒適，獨棟別墅，火車鐵軌，高山雲繞，一覽無遺。	",0,1,1,0,0
"室內迴音有點大，但整體上還是值得推薦的好民宿。	",0,1,0,0,0
"隔音差，晚上聽得到隔壁房間的聲音；早上更是被隔壁建築的施工噪音吵到不能睡覺。	",0,1,0,0,0
"近捷運站，服務親切環境舒適，早餐提供吐司自理	",0,1,1,0,1
"三樓廁所空間偏小，但是是免治馬桶，品質很不錯	",0,1,0,0,0
"只有~吵 沒有停車位 沒有晚餐早餐 房間很小 透天厝	",0,1,0,1,0
"多3個小孩每人加收300 沒多備品 沒多床 老闆很愛錢	",1,1,0,0,0
"簡單乾淨，店員很像韓國的花美男！	",0,0,0,1,1
"菜。西式只有自助烤吐司，提供花生跟草莓抹醬。飲料是冰紅茶跟三合一熱咖啡。	",0,0,0,0,1
"乾淨、雙人房空間較小 隔音效果稍差 早餐的選擇性沒那麼多	",0,1,0,1,0
"南海飯店 員工服務好 無論係櫃檯職員 執房服務員 態度友善&親切。	",0,0,1,0,1
"服務超棒！尤其是門房的阿伯非常有活力又很親切。整個大眾女湯設備空間皆寬敞宜人	",0,1,0,0,1
"大眾池泡湯宛如置身日本 餐的食材跟手藝都好 台北近郊放鬆身心的好選擇	",0,1,0,0,1
"路過喝杯免費咖啡，服務員態度友善，並提供手機充電，有溫度的飯店啊！	",1,0,0,0,1
"熱情的老闆娘，招待很周到。環境也很舒適，尤其裡面的大草皮很適合親子活動！	",0,1,0,0,1
"民宿及餐飲,所有服務均採預約制,老闆娘料理手藝很好、建物內外都很優雅！	",0,1,0,0,1
"下午茶蛋糕好吃 很放鬆的地方	",0,0,0,0,1
"素食便當的湯好喝，旅行社定價$400的晚餐，但菜色口味+價值與誠意皆不足。	",1,0,0,0,1
"房間普通 不過櫃檯都很親切也很貼心 會介紹附近景點等等	",0,1,0,0,1
"出菜速度快，菜品不錯，服務人員態度良好	",0,0,0,0,1
"民宿景美，但房間設施比較老舊，熱水不是很穩，服務人員親切，早餐是自助式，餐點美味	",0,1,1,0,1
"環境乾淨，價錢合理，老闆員工親切有禮，太平山之旅很好的選擇。	",1,0,1,1,0
"環境清幽，山景很美，浴室超乾凈，能滿足有潔癖職業病的我，真的要大力支持，加油	",0,0,1,1,0
"服務很親切,附近都有攤販店家吃很方便,房間也很乾凈，早餐好吃推薦入住	",0,0,0,1,1
"停車位置只有門前及旅店後方空地，若是停滿，只好另尋車位了，較不方便。	",0,1,0,0,0
"枕頭偏高看個人有沒有挑睡，設備偏老舊，人員服務親切。	",0,1,0,0,1
"區、南海遊客中心10多分的距離，住起來很舒服，會想再來住！	",0,1,1,0,0
"還都是螞蟻 房內水忽大忽小 甚至黃黃的 要價5800 有夠坑 800價值還差不多	",1,1,0,1,0
"請大家去找更好更值得您花錢的民宿，踩雷別怪我沒提醒喔喔喔喔喔喔喔喔喔喔喔喔喔	",1,0,0,0,0
"環境清幽 房間整潔 早餐美味可口 咖啡 有機豆漿好喝 讚！下回見！	",0,0,1,1,1
"乾淨舒適，玻璃屋和草坪，悠閒時光的好地方	",0,1,0,1,0
"房間沒電視沒冰箱，浴室共用，cp值太低	",1,1,0,0,0
"二樓岑嵐的窗戶看得到美景，晚上老闆煮的黑糖芋圓超好吃，早餐的蒸蛋也是超棒的。	",0,0,1,0,1
"房間不大，可是感覺質感很好，民宿業者很貼心的幫我們找停車位用心介紹九份景點	",0,1,0,0,1
"老闆和老闆娘人很親戚很好，老闆娘很漂亮有活力，又很會料理餐點。	",0,0,0,0,1
"房間明亮寬敞乾淨 浴缸佳水壓真舒適 主人親切服務勤快 寶貝愛車停車便利	",0,1,0,0,1
"隔音差，一樓大廳聊天的聲音一直穿到二三樓都聽的到！爛透了	",0,1,0,0,0
"地點在鬧區，購物用餐都很近走路即可，四人房大又乾淨舒服，很棒的民宿，推！	",0,1,1,1,0
"房價親民，老闆親切！	",1,0,0,0,1
"價格平價 五星級服務	",1,0,0,0,1
"不推薦各位 建議其他。	",0,0,0,0,0
"有平面停車場 早餐宵夜都有素食區 餐廳經理服務很熱沉 房間乾淨舒適	",0,1,0,1,1
"cp值高，早餐宵夜蘿蔔糕沾花生辣醬超美味，生菜沙拉很新鮮推薦淋油醋醬。	",1,0,0,0,1
"最特別是有提供宵夜（澱粉類跟甜點），樓下一樓有提供餅乾跟咖啡飲料，可以坐一下。	",0,0,0,0,1
"兩位年輕的老闆娘非常熱情 房間很舒服 民宿有電梯 早餐是馬祖特色繼光餅	",0,1,0,0,1
"老闆爸媽一家人有問必答很親切，也隨時注意班機狀況給予建議，是一間有溫度的住宿∼	",0,0,0,0,1
"房間很新，設備很好，廁所還有很厲害的免治馬桶(只有在日本飯店有看過這種規格！)。	",0,1,0,0,0
"地點很好，近交流道，臨近傳藝，風景怡人，造景漂亮，有船可划，房間溫馨，老闆熱情!	",0,1,1,0,1
"戶外設施沒人在養護，泳池都變成綠色了! 烤肉等戶外活動還得加錢，真的不推薦。	",1,1,0,1,0
"歐洲風情美老闆很親切一望無際視野可眺望龜山島五星級民宿	",0,0,1,0,1
