reviews,value,comfort,location,cleanliness,service
"['價格', '合理', '舒適', '的', '房間', '老闆娘', '人', '很', '好', '還', '會', '自己', '做', '早餐', '給', '旅客', '重點', '是', '早餐', '吃到飽']",1.0,1.0,0.0,0.0,1.0
"['內部', '房間', '滿', '乾淨', '的', '還', '有', '大', '場地', '可以', '讓', '團體', '來', '使用', '我', '覺得', '很', '棒']",0.0,1.0,0.0,1.0,0.0
"['隔音', '還可以', '房間', '不', '小', '但', '美中不足', '沒有', '乾', '濕', '分離']",0.0,1.0,0.0,0.0,0.0
"['房子', '設計', '的', '很', '棒', '房間', '採光', '很', '好', '大廳', '挑高', '氣派', '房價', '合理', '台東', '必', '住', '民宿']",1.0,1.0,0.0,0.0,0.0
"['Cp值', '高', '乾淨', '舒適', '空間', '大樓', '下', '有', '免費', '吐司', '和', '咖啡', '老闆', '回復', '速度', '快']",1.0,1.0,0.0,0.0,1.0
"['會客室', '提供', '免費', '飲料', '及', '簡易', '早餐', '房間', '設計', '高雅', '有', '洗衣機', '整體', '而言', '就', '是', '小', '而', '美']",1.0,1.0,0.0,0.0,1.0
"['風景', '幽美', '靠近', '湖', '邊', '的', '地方', '地點', '適中', '房間', '優雅', '清潔', '衛生', '服務', '親切', '高貴', '不', '貴']",1.0,1.0,1.0,1.0,1.0
"['在', '日月潭', '地區', '是', '很', '棒', '的', '一', '個', '飯店', '服務', '人員', '親切', '可以', '放鬆', '的', '來', '一', '趟', '旅程']",0.0,0.0,1.0,0.0,1.0
"['設備', '的', '部分', '可以', '去', '本', '館', '那裡', '有', '泳池', '三溫暖', '撞球', '跟', 'Xbox360', '設施']",0.0,1.0,0.0,0.0,0.0
"['雅房', '的', '浴室', '在', '房間', '外', '房子', '門口', '可以', '烤', '肉', '老闆', '提供', '桌椅', '可以', '坐', '著', '聊天']",0.0,1.0,0.0,0.0,0.0
"['營地', '氣氛', '悠閒', '設備', '齊全', '有', '交誼廳', '可以', '聊天', '看', '電視', '且', '衛浴', '空間', '乾淨']",0.0,1.0,0.0,1.0,0.0
"['風景', '好', '近', '海港', '海港', '邊', '有', '玩', '水', '密境', '魚船', '回', '港', '還可以', '去', '批', '魚貨', '新鮮', '又', '便宜']",0.0,0.0,1.0,0.0,0.0
"['房間', '乾淨', '舒適', '寧靜', '安全', '是', '到', '澎湖', '觀光', '旅遊', '住宿', '的', '最佳', '選擇']",0.0,1.0,0.0,1.0,0.0
"['貴', '民宿', '的', '老闆', '和', '老闆娘', '很', '親切', '管家人', '也', '不錯']",0.0,0.0,0.0,0.0,1.0
"['可以', '再', '加', '一', '顆', '星', '六星級', 'cp值', '超', '高', '老闆', '人', '超', '好']",1.0,0.0,0.0,0.0,1.0
"['離', '鬧區', '不遠', '價格', '便宜', '房間', '安靜', '停車', '超', '方便', '早餐', '肉燥飯', '和', '豆漿', '大推']",1.0,1.0,1.0,0.0,1.0
