hotelName,hotelDetail,comment_tag,summary,summery_description,summery_special_tag,summary_score_tag,summary_reviews
穀鄉民宿,98341台灣花蓮縣富里鄉中山路127號•+886 936 233 626,"['服務服務在 5 則 Google 評論中有提到60% 的評論持正面評價 ', '設施設施在 5 則 Google 評論中有提到100% 的評論持正面評價 ', '服務服務在 5 則 Google 評論中有提到60% 的評論持正面評價 ', '設施設施在 5 則 Google 評論中有提到100% 的評論持正面評價 ']",在 15 則評論中，獲得 4.1 顆星 (滿分為 5 顆星)。很好。,,"['免費停車場 : 在附近類似的飯店中，有 61% 提供免費停車', '可攜帶寵物 : 在附近類似的飯店中，只有 14% 允許攜帶寵物', '地點絕佳 : 房客喜歡這間飯店的地點']","['', '4.1很好\xa0|\xa015 則評論']","['ANITA TSAI""後山住宿的好地方，有家的感覺唷""', 'tsung Liu""服務親切環境優設備齊全旅遊首選""', 'An-Sheng Huang""老闆娘很親切，環境整潔。""']"
愛來客民宿 I LIKE BnB,950台灣台東縣台東市正氣北路255巷98號•+886 8 933 0223,"['早餐早餐在 13 則 Google 評論中有提到100% 的評論持正面評價 ', '設施設施在 21 則 Google 評論中有提到95% 的評論持正面評價 ', '清潔清潔在 25 則 Google 評論中有提到92% 的評論持正面評價 ', '住宿住宿在 10 則 Google 評論中有提到100% 的評論持正面評價 ', '服務服務在 13 則 Google 評論中有提到85% 的評論持正面評價 ', '地點地點在 10 則 Google 評論中有提到80% 的評論持正面評價 ', '浴室浴室在 7 則 Google 評論中有提到71% 的評論持正面評價 ', '停車場停車場在 8 則 Google 評論中有提到100% 的評論持正面評價 ', '餐廳餐廳在 5 則 Google 評論中有提到100% 的評論持正面評價 ', '氣氛氣氛在 6 則 Google 評論中有提到100% 的評論持正面評價 ', '早餐早餐在 13 則 Google 評論中有提到100% 的評論持正面評價 ', '設施設施在 21 則 Google 評論中有提到95% 的評論持正面評價 ', '清潔清潔在 25 則 Google 評論中有提到92% 的評論持正面評價 ', '住宿住宿在 10 則 Google 評論中有提到100% 的評論持正面評價 ', '服務服務在 13 則 Google 評論中有提到85% 的評論持正面評價 ', '地點地點在 10 則 Google 評論中有提到80% 的評論持正面評價 ', '浴室浴室在 7 則 Google 評論中有提到71% 的評論持正面評價 ', '停車場停車場在 8 則 Google 評論中有提到100% 的評論持正面評價 ', '餐廳餐廳在 5 則 Google 評論中有提到100% 的評論持正面評價 ', '氣氛氣氛在 6 則 Google 評論中有提到100% 的評論持正面評價 ']",在 87 則評論中，獲得 4.8 顆星 (滿分為 5 顆星)。非常好。,,"['評分最高 : 這間飯店的使用者評分在這個地區名列前茅', '免費 Wi-Fi : 在附近類似的飯店中，有 47% 免費提供 Wi-Fi', '免費早餐 : 在附近類似的飯店中，只有 23% 免費提供早餐', '地點絕佳 : 房客喜歡這間飯店的地點', '睡得很安穩 : 房客表示他們在這間飯店睡得很好']","['', '4.8非常好\xa0|\xa087 則評論']","['Angus Lin""設備新穎，裝潢得很不錯，房間跟公共區域很乾淨，早餐豐富好吃""', 'TING CHEN""民宿主人很親切；室內整體環境非常乾淨而且漂亮～床很好睡☺️地點也很好停車""', '鄭鴻琳BOWBOWBOW1018""房內提供的茶籽堂沐浴乳跟洗髮精、護髮都超好用的！頭髮洗完不會澀澀的，洗完很順！""']"
英倫爵士/蕾朵兒,3 星級飯店954台灣台東縣卑南鄉太平路213-1號號•+886 911 616 190,"['設施設施在 28 則 Google 評論中有提到68% 的評論持正面評價 ', '清潔清潔在 20 則 Google 評論中有提到60% 的評論持正面評價 ', '服務服務在 18 則 Google 評論中有提到56% 的評論持正面評價 ', '住宿住宿在 15 則 Google 評論中有提到47% 的評論持負面評價 ', '廚房廚房在 9 則 Google 評論中有提到56% 的評論持負面評價 ', '夜生活夜生活在 11 則 Google 評論中有提到36% 的評論持正面評價 ', '家庭料理家庭料理在 11 則 Google 評論中有提到45% 的評論持負面評價 ', '浴室浴室在 11 則 Google 評論中有提到55% 的評論持負面評價 ', '設施設施在 9 則 Google 評論中有提到44% 的評論持正面評價 ', '早餐早餐在 8 則 Google 評論中有提到50% 的評論持正面評價 ', '停車場停車場在 5 則 Google 評論中有提到40% 的評論持正面評價 ', '空調空調在 5 則 Google 評論中有提到60% 的評論持負面評價 ', '氣氛氣氛在 5 則 Google 評論中有提到100% 的評論持正面評價 ', '設施設施在 28 則 Google 評論中有提到68% 的評論持正面評價 ', '清潔清潔在 20 則 Google 評論中有提到60% 的評論持正面評價 ', '服務服務在 18 則 Google 評論中有提到56% 的評論持正面評價 ', '住宿住宿在 15 則 Google 評論中有提到47% 的評論持負面評價 ', '廚房廚房在 9 則 Google 評論中有提到56% 的評論持負面評價 ', '夜生活夜生活在 11 則 Google 評論中有提到36% 的評論持正面評價 ', '家庭料理家庭料理在 11 則 Google 評論中有提到45% 的評論持負面評價 ', '浴室浴室在 11 則 Google 評論中有提到55% 的評論持負面評價 ', '設施設施在 9 則 Google 評論中有提到44% 的評論持正面評價 ', '早餐早餐在 8 則 Google 評論中有提到50% 的評論持正面評價 ', '停車場停車場在 5 則 Google 評論中有提到40% 的評論持正面評價 ', '空調空調在 5 則 Google 評論中有提到60% 的評論持負面評價 ', '氣氛氣氛在 5 則 Google 評論中有提到100% 的評論持正面評價 ']",在 115 則評論中，獲得 3.6 顆星 (滿分為 5 顆星)。良好。,,[],"['', '3.6良好\xa0|\xa0115 則評論']","['Kent Chang""很舒服的民宿還有附設卡拉ok以及麻將桌 床墊也非常舒適房間隔音效果很好""', 'Xiang""設備不怎麼好 樓上都是一樓的食物味，有反應都沒回應 廁所門都壞了 老闆很摳""', '李浚瑜""老闆娘很親切，房間整齊乾淨，推薦家人、朋友包棟住宿""']"
夢想地圖民宿,970台灣花蓮縣花蓮市•+886 915 175 252,[],在 1 則評論中，獲得 5.0 顆星 (滿分為 5 顆星)。非常好。,,"['評分最高 : 這間飯店的使用者評分在這個地區名列前茅', '免費停車場 : 在附近類似的飯店中，只有 14% 提供免費停車', '免費早餐 : 在附近類似的飯店中，只有 14% 免費提供早餐', '地點絕佳 : 房客喜歡這間飯店的地點', '免費 Wi-Fi : 在附近類似的飯店中，只有 14% 免費提供 Wi-Fi']","['', '5.0非常好\xa0|\xa01 則評論']",[]
台中 逢甲 文華道會館 In One City Inn,4 星級飯店407台灣台中市西屯區文華路138巷31號•+886 4 3602 8088,"['停車場停車場在 193 則 Google 評論中有提到77% 的評論持正面評價 ', '地點地點在 312 則 Google 評論中有提到84% 的評論持正面評價 ', '早餐早餐在 162 則 Google 評論中有提到80% 的評論持正面評價 ', '餐廳餐廳在 71 則 Google 評論中有提到79% 的評論持正面評價 ', '商務設施商務設施在 54 則 Google 評論中有提到72% 的評論持正面評價 ', '服務服務在 176 則 Google 評論中有提到81% 的評論持正面評價 ', '健身房健身房在 20 則 Google 評論中有提到90% 的評論持正面評價 ', '酒吧酒吧在 32 則 Google 評論中有提到75% 的評論持正面評價 ', '清潔清潔在 195 則 Google 評論中有提到74% 的評論持正面評價 ', '健身健身在 22 則 Google 評論中有提到91% 的評論持正面評價 ', '浴室浴室在 100 則 Google 評論中有提到47% 的評論持負面評價 ', '設施設施在 214 則 Google 評論中有提到60% 的評論持正面評價 ', '餐飲餐飲在 55 則 Google 評論中有提到71% 的評論持正面評價 ', '住宿住宿在 109 則 Google 評論中有提到56% 的評論持負面評價 ', '夜生活夜生活在 24 則 Google 評論中有提到42% 的評論持正面評價 ', '廚房廚房在 19 則 Google 評論中有提到42% 的評論持正面評價 ', '無障礙設施無障礙設施在 20 則 Google 評論中有提到60% 的評論持負面評價 ', '氣氛氣氛在 42 則 Google 評論中有提到88% 的評論持正面評價 ', '娛樂娛樂在 18 則 Google 評論中有提到72% 的評論持負面評價 ', '設施設施在 42 則 Google 評論中有提到45% 的評論持負面評價 ', '空調空調在 22 則 Google 評論中有提到55% 的評論持負面評價 ', '美容/按摩服務美容/按摩服務在 6 則 Google 評論中有提到100% 的評論持正面評價 ', '大眾運輸大眾運輸在 11 則 Google 評論中有提到82% 的評論持正面評價 ', 'Wi-FiWi-Fi在 8 則 Google 評論中有提到50% 的評論持正面評價 ', '家庭料理家庭料理在 5 則 Google 評論中有提到40% 的評論持正面評價 ', '停車場停車場在 193 則 Google 評論中有提到77% 的評論持正面評價 ', '地點地點在 312 則 Google 評論中有提到84% 的評論持正面評價 ', '早餐早餐在 162 則 Google 評論中有提到80% 的評論持正面評價 ', '餐廳餐廳在 71 則 Google 評論中有提到79% 的評論持正面評價 ', '商務設施商務設施在 54 則 Google 評論中有提到72% 的評論持正面評價 ', '服務服務在 176 則 Google 評論中有提到81% 的評論持正面評價 ', '健身房健身房在 20 則 Google 評論中有提到90% 的評論持正面評價 ', '酒吧酒吧在 32 則 Google 評論中有提到75% 的評論持正面評價 ', '清潔清潔在 195 則 Google 評論中有提到74% 的評論持正面評價 ', '健身健身在 22 則 Google 評論中有提到91% 的評論持正面評價 ', '浴室浴室在 100 則 Google 評論中有提到47% 的評論持負面評價 ', '設施設施在 214 則 Google 評論中有提到60% 的評論持正面評價 ', '餐飲餐飲在 55 則 Google 評論中有提到71% 的評論持正面評價 ', '住宿住宿在 109 則 Google 評論中有提到56% 的評論持負面評價 ', '夜生活夜生活在 24 則 Google 評論中有提到42% 的評論持正面評價 ', '廚房廚房在 19 則 Google 評論中有提到42% 的評論持正面評價 ', '無障礙設施無障礙設施在 20 則 Google 評論中有提到60% 的評論持負面評價 ', '氣氛氣氛在 42 則 Google 評論中有提到88% 的評論持正面評價 ', '娛樂娛樂在 18 則 Google 評論中有提到72% 的評論持負面評價 ', '設施設施在 42 則 Google 評論中有提到45% 的評論持負面評價 ', '空調空調在 22 則 Google 評論中有提到55% 的評論持負面評價 ', '美容/按摩服務美容/按摩服務在 6 則 Google 評論中有提到100% 的評論持正面評價 ', '大眾運輸大眾運輸在 11 則 Google 評論中有提到82% 的評論持正面評價 ', 'Wi-FiWi-Fi在 8 則 Google 評論中有提到50% 的評論持正面評價 ', '家庭料理家庭料理在 5 則 Google 評論中有提到40% 的評論持正面評價 ']","在 2,330 則評論中，獲得 4.1 顆星 (滿分為 5 顆星)。很好。",,"['免費停車場 : 在附近類似的飯店中，有 60% 提供免費停車', '免費 Wi-Fi : 在附近類似的飯店中，有 86% 免費提供 Wi-Fi', '鄰近逢甲夜市 : 房客喜歡這間飯店，因為這裡鄰近逢甲夜市', '餐點一流 : 房客很喜歡這間飯店提供的餐飲服務', '評價絕佳的健身設施 : 房客喜歡這間飯店的室內和/或室外運動設施', '早餐美味 : 房客喜歡這間飯店的早餐', '服務親切 : 房客喜歡這間飯店的服務']","['', '4.1很好\xa0|\xa02,330 則評論']","['Kevin Li""房間設施裝潢較舊 公共空間不多 早餐好吃份量足 停車非常方便""', 'Danny Lin""因為夜市的小吃太鹹，回飯店後有杯啤酒就揪心了。""', 'hung Chang""樓下及隔音效果不好，最糟的問題：冷氣跟冰箱吵一直發出聲音，吵的要命。""']"
東港。嘉蓮旅棧民宿,928台灣屏東縣東港鎮嘉蓮路80-5號•+886 988 118 337,"['清潔清潔在 5 則 Google 評論中有提到100% 的評論持正面評價 ', '清潔清潔在 5 則 Google 評論中有提到100% 的評論持正面評價 ']",在 51 則評論中，獲得 4.3 顆星 (滿分為 5 顆星)。很好。,,[],"['', '4.3很好\xa0|\xa051 則評論']","['KK躲邊編代晴""環境蠻安靜的，房間不錯，裡面好多老闆的工藝品，會再來的""', 'ch t""出門前發現，早餐被其他間房客吃掉了，謝謝老闆娘趕快請人補送""', '張開心""主人家非常友善是個老漁夫，有許多可分享的海上故事，和滿滿的捕魚經。""']"
陽明山水溫泉會館-金山溫泉會館推薦,208台灣新北市金山區林口33之3號•+886 80 036 6299,"['家庭料理家庭料理在 20 則 Google 評論中有提到95% 的評論持正面評價 ', '氣氛氣氛在 31 則 Google 評論中有提到84% 的評論持正面評價 ', '大自然大自然在 90 則 Google 評論中有提到91% 的評論持正面評價 ', '設施設施在 62 則 Google 評論中有提到73% 的評論持正面評價 ', '餐飲餐飲在 65 則 Google 評論中有提到74% 的評論持正面評價 ', '游泳池游泳池在 35 則 Google 評論中有提到89% 的評論持正面評價 ', '美容/按摩服務美容/按摩服務在 28 則 Google 評論中有提到75% 的評論持正面評價 ', '健康與保健健康與保健在 35 則 Google 評論中有提到74% 的評論持正面評價 ', '空調空調在 12 則 Google 評論中有提到67% 的評論持正面評價 ', '服務服務在 84 則 Google 評論中有提到68% 的評論持正面評價 ', '設施設施在 63 則 Google 評論中有提到75% 的評論持正面評價 ', '餐廳餐廳在 14 則 Google 評論中有提到71% 的評論持正面評價 ', '健身健身在 55 則 Google 評論中有提到69% 的評論持正面評價 ', '地點地點在 11 則 Google 評論中有提到64% 的評論持正面評價 ', '浴室浴室在 73 則 Google 評論中有提到53% 的評論持正面評價 ', '清潔清潔在 48 則 Google 評論中有提到62% 的評論持正面評價 ', '早餐早餐在 17 則 Google 評論中有提到65% 的評論持正面評價 ', '住宿住宿在 12 則 Google 評論中有提到58% 的評論持負面評價 ', '酒吧酒吧在 11 則 Google 評論中有提到55% 的評論持正面評價 ', '夜生活夜生活在 11 則 Google 評論中有提到45% 的評論持負面評價 ', '停車場停車場在 7 則 Google 評論中有提到71% 的評論持正面評價 ', '廚房廚房在 10 則 Google 評論中有提到70% 的評論持負面評價 ', '無障礙設施無障礙設施在 14 則 Google 評論中有提到79% 的評論持負面評價 ', '家庭料理家庭料理在 20 則 Google 評論中有提到95% 的評論持正面評價 ', '氣氛氣氛在 31 則 Google 評論中有提到84% 的評論持正面評價 ', '大自然大自然在 90 則 Google 評論中有提到91% 的評論持正面評價 ', '設施設施在 62 則 Google 評論中有提到73% 的評論持正面評價 ', '餐飲餐飲在 65 則 Google 評論中有提到74% 的評論持正面評價 ', '游泳池游泳池在 35 則 Google 評論中有提到89% 的評論持正面評價 ', '美容/按摩服務美容/按摩服務在 28 則 Google 評論中有提到75% 的評論持正面評價 ', '健康與保健健康與保健在 35 則 Google 評論中有提到74% 的評論持正面評價 ', '空調空調在 12 則 Google 評論中有提到67% 的評論持正面評價 ', '服務服務在 84 則 Google 評論中有提到68% 的評論持正面評價 ', '設施設施在 63 則 Google 評論中有提到75% 的評論持正面評價 ', '餐廳餐廳在 14 則 Google 評論中有提到71% 的評論持正面評價 ', '健身健身在 55 則 Google 評論中有提到69% 的評論持正面評價 ', '地點地點在 11 則 Google 評論中有提到64% 的評論持正面評價 ', '浴室浴室在 73 則 Google 評論中有提到53% 的評論持正面評價 ', '清潔清潔在 48 則 Google 評論中有提到62% 的評論持正面評價 ', '早餐早餐在 17 則 Google 評論中有提到65% 的評論持正面評價 ', '住宿住宿在 12 則 Google 評論中有提到58% 的評論持負面評價 ', '酒吧酒吧在 11 則 Google 評論中有提到55% 的評論持正面評價 ', '夜生活夜生活在 11 則 Google 評論中有提到45% 的評論持負面評價 ', '停車場停車場在 7 則 Google 評論中有提到71% 的評論持正面評價 ', '廚房廚房在 10 則 Google 評論中有提到70% 的評論持負面評價 ', '無障礙設施無障礙設施在 14 則 Google 評論中有提到79% 的評論持負面評價 ']",在 875 則評論中，獲得 4.0 顆星 (滿分為 5 顆星)。很好。,,"['水療中心 : 這是附近少數價位低於 $100 且提供 SPA 服務的飯店之一', '游泳池 : 在附近類似的飯店中，只有 28% 設有游泳池', '免費停車場 : 在附近類似的飯店中，有 80% 提供免費停車', '受家庭旅客歡迎 : 家庭旅客很喜歡這間飯店']","['', '4.0很好\xa0|\xa0875 則評論']","['nonie wang""房間內可泡湯，戶外有冷熱池跟游泳池，早餐普通，晚餐的套餐份量很多誠意十足""', 'steev kung""小弟是在此泡過湯.設備、風景和服務皆可算優良、 一個可以考慮去泡湯的地方。""', 'Pinhua Chen""景觀好、食物味道不錯，空間較舊缺乏維護，餐廳的音樂與空間氛圍不搭，有點影響用餐""']"
Leisure and Breakfast,"2 星級飯店No 247 1 Jishan St, New Taipei City, 台灣•+886 926 227 922",[],在 2 則評論中，獲得 5.0 顆星 (滿分為 5 顆星)。非常好。,,"['評分最高 : 這間飯店的使用者評分在這個地區名列前茅', '地點絕佳 : 房客喜歡這間飯店的地點']","['', '5.0非常好\xa0|\xa02 則評論']",[]
歐閣精品汽車旅館-鳳山館,830台灣高雄市鳳山區頂新一街122號•+886 7 792 6600,"['商務設施商務設施在 7 則 Google 評論中有提到43% 的評論持中立評價 ', '服務服務在 21 則 Google 評論中有提到62% 的評論持正面評價 ', '浴室浴室在 12 則 Google 評論中有提到50% 的評論持負面評價 ', '清潔清潔在 21 則 Google 評論中有提到86% 的評論持正面評價 ', '設施設施在 31 則 Google 評論中有提到81% 的評論持正面評價 ', '停車場停車場在 6 則 Google 評論中有提到67% 的評論持正面評價 ', '住宿住宿在 9 則 Google 評論中有提到56% 的評論持正面評價 ', '早餐早餐在 5 則 Google 評論中有提到100% 的評論持正面評價 ', '商務設施商務設施在 7 則 Google 評論中有提到43% 的評論持中立評價 ', '服務服務在 21 則 Google 評論中有提到62% 的評論持正面評價 ', '浴室浴室在 12 則 Google 評論中有提到50% 的評論持負面評價 ', '清潔清潔在 21 則 Google 評論中有提到86% 的評論持正面評價 ', '設施設施在 31 則 Google 評論中有提到81% 的評論持正面評價 ', '停車場停車場在 6 則 Google 評論中有提到67% 的評論持正面評價 ', '住宿住宿在 9 則 Google 評論中有提到56% 的評論持正面評價 ', '早餐早餐在 5 則 Google 評論中有提到100% 的評論持正面評價 ']",在 217 則評論中，獲得 4.4 顆星 (滿分為 5 顆星)。很好。,,"['免費停車場 : 在附近類似的飯店中，有 71% 提供免費停車', '早餐美味 : 房客喜歡這間飯店的早餐', '服務親切 : 房客喜歡這間飯店的服務']","['', '4.4很好\xa0|\xa0217 則評論']","['吳政謚""格局好，設備優，床舒適，衛浴讚。多樣功能滿足各種所需，價格親民實在高CP值""', 'Daphne Luo""房間空間舒適，雖是商務房（無車庫），但有停車場，非常方便。""', '張添榮""很棒，隔音效果比較不好，會聽到外面工作人員的聲音。但整體還不錯。""']"
糖果屋民宿,269台灣宜蘭縣冬山鄉富英路77號•+886 3 950 6084,"['設施設施在 10 則 Google 評論中有提到60% 的評論持負面評價 ', '住宿住宿在 6 則 Google 評論中有提到100% 的評論持負面評價 ', '設施設施在 5 則 Google 評論中有提到80% 的評論持負面評價 ', '服務服務在 5 則 Google 評論中有提到80% 的評論持負面評價 ', '清潔清潔在 18 則 Google 評論中有提到83% 的評論持負面評價 ', '浴室浴室在 10 則 Google 評論中有提到100% 的評論持負面評價 ', '設施設施在 10 則 Google 評論中有提到60% 的評論持負面評價 ', '住宿住宿在 6 則 Google 評論中有提到100% 的評論持負面評價 ', '設施設施在 5 則 Google 評論中有提到80% 的評論持負面評價 ', '服務服務在 5 則 Google 評論中有提到80% 的評論持負面評價 ', '清潔清潔在 18 則 Google 評論中有提到83% 的評論持負面評價 ', '浴室浴室在 10 則 Google 評論中有提到100% 的評論持負面評價 ']",在 80 則評論中，獲得 2.9 顆星 (滿分為 5 顆星)。一般。,,"['免費停車場 : 在附近類似的飯店中，有 33% 提供免費停車', '免費早餐 : 在附近類似的飯店中，只有 19% 免費提供早餐']","['', '2.9一般\xa0|\xa080 則評論']","['Elaine Elaine""老闆人很好 房間有很高的cp值 不過洗澡水忽冷忽熱有待加強！""', 'Johnson Chiu""照片跟現場非常不符合，房間霉味撲鼻，房東一直急著要你先付訂金再說，慎入!""', 'Patty Hsu""清潔度很差，對於親子民宿來說，相當不及格。球池髒，裡面竟然還有餅乾屑。""']"
