hotelID,hotelName
0,台南商務會館
1,白宮渡假飯店
2,伯利恆之星
3,冬山老村長平價包棟民宿
4,"日安,巴黎民宿"
5,莊稼熟了貳館 鋤禾日好日租背包客農事館
6,茶雲居 Tea Cloud B&B
7,富岡海景民宿
8,京典商務旅館
9,小琉球島主民宿
10,綠舍民宿
11,巴黎寓所 Hualien Paris Home B&B
12,Honey Prince
13,Red Hotel
14,台東民宿(找空房)|棒棒糖民宿|台東電梯優質民宿|熱氣球住宿|台東渡假|可使用紙本五倍券
15,Moxy Taichung 台中豐邑MOXY酒店
16,來家渡假民宿
17,宜蘭快樂幾迷會館
18,花旗汽車旅館
19,DeerValleyLodge鹿谷小宿
20,花蓮緩緩民宿
21,H& 九份山經
22,傳遞幸福爵士館
23,逸間民宿
24,六星旅館 桃園館
25,可拉kola庭園民宿
26,鷺田民宿&蓁鑫家園餐廳
27,Toong I Hotel
28,沙古拉民宿
29,媽宮古街10號民宿-推薦花火節特色市區包棟民宿(澎湖馬公)老街民宿深度旅遊推薦 優質家庭親子設施民宿 機場接送民宿
30,禾家商旅
31,閑居民宿
32,老英格蘭莊園
33,紅葉溫泉旅社
34,小琉球背包客住宿推薦 漫慢旅宿
35,吉村大飯店
36,紅築民宿
37,水漾時尚旅館
38,合歡精緻民宿
39,森林公園民宿
40,瑞欣大飯店
41,Minshuku WADA
42,台北W飯店
43,花蓮世外桃園民宿
44,最南端民宿
45,貴都大飯店
46,小小鋼琴家
47,軒軒套房
48,金普頓大安酒店 Kimpton Da An Hotel
49,太魯閣蘇西小空間 Taroko susispace homestay
50,優聖美地渡假村
51,力麗馬告生態園區明池山莊
52,海華休閒別墅民宿 翡翠灣
53,蘭陽橋鄉村渡假別墅
54,旭日山莊民宿
55,Hualien Country Lodge
56,亞比亞納
57,艾蜜麗庭園民宿
58,春大地渡假山莊
59,上善德雅花園民宿-景觀庭園民宿/台東住宿優惠/網友好評民宿/情侶住宿推薦/精緻雙人房/人氣民宿推薦 都蘭優質民宿 都蘭旅遊景點推薦 都蘭平價住宿
60,翡麗金旅店
61,舒蘭精品旅館
62,靜觀行館
63,大房子民宿 Da Founds B&B
64,雪山溫泉會館
65,悅川酒店
66,夏御民宿
67,走馬瀨蘭花會館
68,關山會館民宿(分館)
69,緩慢‧石梯坪
70,南庄眉山居咖啡民宿
71,琉意旅宿
72,美麗海海岸民宿
73,福中居民宿 Fuzhongju Homestay－金門便宜住宿 推薦特色民宿 金門租車代訂 住宿附早餐 家庭住宿 推薦親子住宿
74,金門有魚民宿
75,魯冰花休閒農莊
76,華馨大飯店
77,福來旅社
78,地球村農家民宿
79,何留 Resort
80,輕旅宿
81,青山別館
82,鄉源民宿
83,晨荷精品渡假旅館
84,樂逸旅居高雄七賢館 Lainn
85,賀緹酒店
86,宮賞藝術大飯店
87,歐典海景風情
88,貝殼灣渡假旅店
89,悄悄話旅宿
90,黃石山莊
91,東城民宿
92,台南路加27
93,橋頭居 Bridgeliving
94,八巷10號民宿-810 kinmen B&B
95,礁溪寒沐酒店 MU JIAO XI HOTEL
96,輕宿旅棧-雅房房型
97,和風庭民宿
98,Home Hotel
99,金色茶莊 - 頂湖茶區
100,武麟山莊（杰哥）
101,麵包樹民宿
102,松柏文旅 Cypress Inn
