hotelID,hotelName
0,山海大飯店
1,喫茶居
2,台中威汀城市酒店
3,台中港酒店
4,雲濛仙境民宿
5,名悅賓館
6,宴會廳 - 台北國賓大飯店
7,安心美民宿
8,"InterContinental Miami, an IHG Hotel"
9,卡樂莉芙
10,苗栗松鶴陶然居民宿
11,緩緩歸Slow living
12,陽明山美國渡假村
13,永悅商務大飯店
14,85幸福公寓
15,碼頭水沙連大飯店
16,Work Inn Central 站前館 (Female only)
17,津津音樂客棧
18,捌拾伍號民宿 85 House
19,金山海灣溫泉HOTEL
20,新港德旺商旅
21,大石頭渡假山莊民宿
22,雅云山莊
23,承億文旅 - 嘉義商旅
24,中壢大飯店
25,耕園民宿茶坊
26,三號船長民宿
27,海安竺居(HaianStay)(台南民宿~海安竹居)
28,小琉球夏之嶼民宿\小琉球海景民宿\小琉球住宿推薦\休閒渡假
29,蘇羅婆溫泉渡假村
30,嘉楠風華酒店
31,193 樂 騎 民宿 瑞穗 館
32,怡和田民宿
33,富立登國際大飯店
34,綺麗商旅-宜蘭蘇澳館
35,文林居 Family House
36,薇拉
37,山啄木青年旅館 Central Woods Hostel / 單床位短期包月
38,日日閒民宿 Tranquillo B&B
39,神雕雅築田園民宿 - 包棟民宿 田園民宿 親子團體旅遊 好客 烤肉 人氣 好評 推薦 家庭旅遊 熱門景點附近 國旅卡
40,法蘭克民宿
41,寓旅Inn
42,Spring City Resort 春天酒店
43,泉湯溫泉商務旅館 Cyuan Tang Hot Spring Hotel
44,金門海灣之家民宿
45,叮噹家合法民宿
46,日月潭建成民宿 JianCheng Hotel
47,台糖長榮酒店 台南
48,花蓮雲水堂民宿B&B yunshuetang
49,Journey Hostel 掘旅
50,Amy+ (東之華)民宿
51,新竹元首經典旅館 Chief Classic Hotel
52,天璽商務飯店
53,美好時光民宿
54,享樂慢活
55,瑞穗棕櫚湖渡假民宿
56,雲庭民宿
57,Natume夏目旅店
58,初夏X日和
59,傻風旅店
60,國眾大飯店
61,澎湖旅遊餐飲住宿-君彤景園
62,富凱大飯店
63,走馬瀨農場(Tsou Ma Lai Farm)
64,眺·舍旅店
65,希臘邊境渡假旅店
66,大福好民宅
67,北極星民宿
68,索菲亞民宿
69,吉美民宿
70,Long Fu Hotel
71,小屋克里夫 Small House Cliff
72,東港民宿 禾田旅宿
73,放很鬆民宿-推薦親子友善設施民宿住宿(宜蘭五結)烤肉唱歌包棟民宿 附早餐 行程規劃旅遊諮詢服務套裝住宿 合法市區平價民宿 代辦租汽機車立槳賞鯨浮潛衝浪 冬山河親水公園附近
74,玉榮府
75,霖園民宿
76,麗昕緹渡假會館-推薦關山夜景景點景觀 恆春包棟民宿 人氣住宿 手作早餐 寵物友善
77,清境繽紛農場
78,月光莊旅社
79,賓成精品商旅
80,仟台大飯店
81,出水茶旅民宿 Tea Homestay
82,觀海洋客棧 View Ocean Inn
83,小森旅宿 Cozy Green Guest House
84,達拉崗民宿
85,草分木民宿-南灣
86,倚月觀荷民宿
87,七妹小院子
88,J House民宿(埔里福興七號旅棧.天境會館聯絡處)
89,海濱民宿
90,日和民宿
91,娃夏民宿
92,台東富岡休閒會館
93,梅花湖 轉角民宿
94,螢火蟲的故鄉A館
95,閱光海背包輕旅
96,鹿港 鹿遊人文民宿
97,日時行旅精緻民宿-2021年澎湖花火節全新電梯民宿 (澎湖馬公) 精緻景觀特色民宿住宿 嵵裡沙灘附近民宿 情侶人氣推薦 套裝行程代訂民宿
98,221B TeaStay (茶宿)
99,SeeYou汽車旅館
100,MINI HOTELS 台中火車站館
101,春天花園民宿
