hotelID,hotelName
0,穀鄉民宿
1,愛來客民宿 I LIKE BnB
2,英倫爵士/蕾朵兒
3,夢想地圖民宿
4,台中 逢甲 文華道會館 In One City Inn
5,東港。嘉蓮旅棧民宿
6,陽明山水溫泉會館-金山溫泉會館推薦
7,Leisure and Breakfast
8,歐閣精品汽車旅館-鳳山館
9,糖果屋民宿
10,泰安湯悅溫泉會館
11,LOVE OCEAN RESORT
12,悠活兒童旅館
13,新豐休閑農場
14,墾丁綠院子民宿
15,墾丁亞曼達會館
16,伯樂斯民宿
17,香格里拉精品旅館
18,FLOWER'S HOME阿花的家主題民宿&餐廳
19,小森林民宿
20,覓淨拾光輕旅
21,伊豆溫泉民宿
22,台東池上民宿-莊稼熟了1館
23,棲遲民宿
24,南庄老寮背包空間
25,紅樓夢渡假別墅
26,伊莉莎白甜夜
27,尋找愛麗絲民宿
28,捷米民宿
29,綠島海洋之家潛水渡假村-潛水民宿住宿推薦(綠島)打工換宿民宿 特色料理BBQ中西自助早餐民宿 潛水體驗考照住宿 潛水船 fun dive
30,十街民宿 Tenth Street Homestay
31,台東關山 藍天山丘民宿
32,悠木馬民宿
33,禎祥園三合院民宿
34,小琉球民宿走在星空下
35,龍家民宿 The Laid-back Dragon Lodge
36,森弄.神農街九十二號
37,長興旅社
38,依山農園民宿 大山羊肉爐餐廳車城分店
39,HF竹南
40,心琴2館
41,Blue Sky B&B
42,星滿憶足民宿
43,東方渡假酒店
44,安禾旅店
45,Free World B&B
46,Doll House Lodge
47,一品沅商旅
48,World Inn 窩二樓小客棧（疫情間請事先預約）
49,藍色棉花糖民宿
50,波尼多小旅宿 bonito inn
51,飛燕城堡度假飯店|梨山|武陵|福壽山|合歡山|住宿
52,大千商務旅館
53,福壽山農場
54,安平六合居民宿事業體· 六合館
55,藍色玻璃海民宿
56,北獅樓民宿
57,花蓮泳池 親子庭園民宿 花路米
58,星光花園（鄉村風格民宿）
59,台東鹿野雁窩民宿
60,花蓮羊角邨民宿
61,澎湖七美民宿 | 鄭家莊
62,港仔會舘
63,溪頭杉溪鹿溜滑梯小木屋
64,欲望旅人La Pace Hostel
65,戀情精品汽車旅館
66,Ji Shih Life Style Hotel
67,傅院子民宿
68,夏日香氣民宿
69,暖暖小窩民宿
70,Classic City Resort 經典假日飯店
71,樺谷大飯店
72,大鵬灣林邊崎仔頭民宿
73,東港民宿 東立方旅宿
74,澎湖金宿喜民宿
75,碧港良居商旅(西子灣)
76,龍園旅館
77,景園大飯店 King's Paradise Hotel
78,風華渡假旅館
79,米堤Motel-屏東館
80,雲之湯溫泉會館
81,芹壁青年民宿
82,清境空中花園
83,瑪拉雅民宿 Malaya Guest House
84,福容大飯店 麗寶樂園
85,金門雲上民宿金大館
86,馬槽花藝村(陽明山溫泉)
87,魔法奶油飛民宿
88,Rose Garden Hot Spring
89,玉井。嵐旅店
90,水雲鄉山景民宿
91,興東小民宿
92,小熊管家親子民宿
93,Bears B&B
94,大尖山風情會館
95,小半天雅園民宿
96,萬事達行旅 台北市防疫旅館 Wonstar Hotel Quanrantine
97,舊金山麗思卡爾頓酒店
98,台北富信大飯店二館
99,埃及白宮
100,心海廣闊民宿
101,采雲間
102,H& 阿里山初日 | H& Alishan Sunrise
103,台南安提詩咖啡
104,高野大飯店
105,璽朵精品旅館
106,東津御苑 特色民宿
